"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"AfstandTotHuisartsenpraktijk_106";"AfstandTotGroteSupermarkt_107";"AfstandTotKinderdagverblijf_108";"AfstandTotSchool_109";"ScholenBinnen3Km_110";"OppervlakteTotaal_111";"OppervlakteLand_112";"OppervlakteWater_113";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"10084";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";"1";"121151";"57943";"63208";"12524";"23594";"28796";"29274";"26963";"65239";"38662";"10634";"6616";"26965";"14515";"1721";"722";"363";"1688";"10021";;;;;"69289";"38364";"17556";"13369";"1.7";"2172";"63277";"258";"51";"49";"93";"7";"39";"60";"34";"26";"1";"90";"10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"13295";"45";"1115";"2800";"895";"975";"3210";"2495";"1760";"46325";"40310";"6015";"0.7";"830";"2680";;;;;;"6012";"5579";"433";"         .";;"1";"2549"
"10085";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"20235";"9500";"10740";"830";"6685";"5760";"3140";"3820";"13915";"4030";"1415";"875";"6910";"2605";"120";"120";"60";"240";"2075";;;;;"14315";"10535";"2885";"890";"1.3";"7395";"12816";"291";"17";"83";"86";"14";"21";"76";"22";"54";"3";"86";"14";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3820";"0";"150";"1200";"220";"395";"895";"475";"485";"5445";"4565";"875";"0.4";"1989";"260";;;;;;"310";"274";"37";"         .";;"1";"4152"
"10086";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"2155";"990";"1165";"35";"1060";"615";"225";"215";"1765";"265";"75";"45";"975";"265";"10";"15";"15";"30";"200";;;;;"1715";"1370";"290";"55";"1.3";"6913";"1633";"292";"11";"89";"76";"24";"15";"80";"8";"72";"5";"97";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"865";"0";"25";"530";"25";"50";"95";"40";"95";"440";"360";"80";"0.3";"1414";"15";;;;;;"36";"31";"5";"      6211";"1";"1";"4714"
"10087";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1615";"760";"850";"60";"520";"375";"285";"380";"1045";"360";"120";"90";"585";"150";"5";"5";"5";"15";"120";;;;;"1125";"800";"255";"75";"1.4";"3193";"1084";"379";"29";"71";"81";"19";"27";"69";"21";"48";"4";"94";"6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"400";"0";"25";"115";"5";"50";"85";"60";"60";"500";"405";"95";"0.4";"989";"30";;;;;;"57";"50";"6";"      6211";"1";"1";"4350"
"10088";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2575";"1160";"1415";"90";"870";"575";"380";"660";"1670";"525";"180";"190";"890";"225";"10";"10";"5";"25";"175";;;;;"1725";"1255";"355";"120";"1.4";"10083";"1459";"283";"18";"82";"88";"12";"25";"73";"22";"50";"3";"91";"9";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"305";"0";"5";"60";"15";"15";"100";"60";"50";"675";"590";"85";"0.4";"2640";"35";;;;;;"26";"26";"0";"      6211";"1";"1";"4218"
"10089";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"4660";"2255";"2405";"205";"1695";"1445";"670";"650";"3495";"700";"345";"120";"1625";"530";"35";"20";"10";"40";"425";;;;;"3340";"2585";"535";"220";"1.3";"10994";"2641";"265";"23";"77";"89";"11";"15";"81";"30";"51";"4";"75";"25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"580";"0";"30";"110";"50";"55";"145";"100";"95";"1035";"860";"175";"0.3";"2438";"45";;;;;;"42";"42";"0";"      6211";"1";"1";"3942"
"10090";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1870";"885";"985";"50";"590";"635";"315";"285";"1375";"260";"170";"65";"655";"235";"15";"20";"5";"15";"180";;;;;"1450";"1100";"280";"70";"1.3";"6060";"1483";"198";"8";"92";"84";"16";"16";"83";"24";"59";"1";"98";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"350";"0";"10";"80";"35";"55";"75";"50";"45";"520";"465";"55";"0.4";"1690";"35";;;;;;"40";"31";"9";"      6211";"1";"1";"3663"
"10091";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"2025";"970";"1055";"185";"575";"615";"410";"235";"1330";"445";"190";"60";"475";"650";"30";"10";"10";"70";"535";;;;;"1130";"825";"190";"115";"1.4";"5509";"965";"228";"39";"61";"94";"6";"13";"86";"56";"29";"1";"100";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"175";"0";"10";"20";"20";"5";"55";"35";"35";"425";"370";"55";"0.4";"1153";"35";;;;;;"45";"37";"8";"      6221";"1";"1";"3847"
"10092";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5345";"2475";"2870";"210";"1375";"1505";"860";"1395";"3240";"1465";"330";"310";"1715";"545";"15";"30";"10";"45";"440";;;;;"3830";"2605";"985";"235";"1.4";"9452";"3551";"344";"9";"91";"86";"14";"29";"69";"12";"57";"2";"77";"23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1150";"0";"45";"290";"70";"155";"350";"130";"110";"1850";"1520";"330";"0.5";"3276";"70";;;;;;"66";"57";"9";"      6221";"1";"1";"4164"
"10093";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"9105";"4280";"4825";"1200";"1275";"1615";"2340";"2675";"4135";"3675";"660";"630";"1915";"430";"15";"30";"15";"45";"325";;;;;"4560";"1955";"1495";"1105";"2";"1051";"4595";"410";"68";"32";"93";"7";"65";"35";"6";"29";"0";"98";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1330";"5";"70";"130";"70";"145";"415";"305";"190";"4260";"3455";"805";"0.9";"492";"230";;;;;;"915";"867";"48";"         .";;"2";"1906"
