"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"AfstandTotHuisartsenpraktijk_106";"AfstandTotGroteSupermarkt_107";"AfstandTotKinderdagverblijf_108";"AfstandTotSchool_109";"ScholenBinnen3Km_110";"OppervlakteTotaal_111";"OppervlakteLand_112";"OppervlakteWater_113";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"9762";"BU09350207";"Maastricht                              ";"Buurt     ";"BU09350207";"1";"5295";"2515";"2780";"640";"460";"1145";"1480";"1570";"2105";"2160";"595";"435";"865";"750";"165";"35";"20";"185";"345";"45";"9";"90";"18";"2675";"1075";"850";"745";"2";"4073";"2651";"183";"68";"32";"98";"2";"33";"67";"63";"4";"0";"78";"22";"2500";"1780";"2770";"2960";"3110";"4190";"2220";"3090";"1020";"680";"1120";"1280";"1500";"2420";"970";"1130";;"1670";"1600";"510";"55";"91";"9";"4400";"25.8";"21.9";"54.1";"7.2";"25.4";"59.8";"6.6";"10.7";"12.2";"20.8";"27.3";"10.7";"250";"510";"50";"1470";;;"860";"162";"240";"0";"50";"45";"25";"5";"40";"45";"30";"2205";"2015";"190";"0.8";"1691";"115";"0.5";"0.5";"0.5";"0.6";"6.6";"130";"130";"0";"      6218";"1";"2";"1729"
"9763";"BU09350208";"Maastricht                              ";"Buurt     ";"BU09350208";"1";"1960";"1000";"955";"270";"320";"365";"770";"245";"865";"930";"110";"50";"260";"140";"10";"5";"5";"35";"85";"15";"8";"5";"2";"735";"115";"245";"375";"2.7";"1461";"713";"338";"91";"9";"99";"1";"90";"10";"0";"10";"0";"62";"38";"3480";"2480";"3380";"3620";"3780";"4780";"2570";"3590";"1330";"920";"1270";"1410";"1450";"1940";"1120";"1350";;"410";"680";"510";"77";"87";"13";"1600";;;"34.5";"26.7";;"13";"37.1";"1";"1";"1";"1.4";"220.2";"10";"80";"30";"220";;;"65";"33";"165";"0";"25";"20";"15";"15";"40";"30";"20";"955";"830";"125";"1.3";"711";"65";"1.4";"1.2";"0.5";"0.5";"6.5";"134";"134";"0";"      6215";"3";"2";"1606"
"9764";"BU09350209";"Maastricht                              ";"Buurt     ";"BU09350209";"1";"6475";"3170";"3305";"705";"665";"1355";"1900";"1855";"2690";"2585";"815";"385";"1015";"460";"80";"20";"25";"45";"295";"45";"7";"75";"12";"3410";"1480";"1050";"880";"1.9";"5889";"3401";"187";"53";"47";"98";"2";"49";"51";"41";"10";"0";"100";"0";"2580";"2280";"2810";"2800";"3450";"4070";"2220";"2940";"1220";"1000";"1360";"1500";"1740";"2220";"1080";"1370";;"1660";"2280";"990";"59";"90";"10";"5500";"28.6";"24.8";"46.2";"10.6";"27.7";"51.4";"9.4";"8.5";"9.7";"14.8";"19";"37";"200";"490";"60";"1720";;;"765";"118";"320";"0";"45";"40";"15";"15";"65";"75";"65";"2860";"2655";"210";"0.8";"2606";"170";"0.5";"0.5";"0.8";"0.8";"7.1";"110";"110";"0";"      6215";"2";"2";"2022"
"9765";"WK093503  ";"Maastricht                              ";"Wijk      ";"WK093503  ";"1";"2130";"1025";"1100";"205";"295";"500";"615";"505";"1075";"735";"195";"125";"470";"165";"20";"15";"5";"10";"110";"20";"8";"20";"9";"1195";"600";"340";"255";"1.8";"549";"1012";"228";"58";"42";"95";"5";"40";"59";"43";"16";"0";"87";"13";"2890";"2470";"2980";"3430";"3560";"4390";"2570";"3360";"1250";"890";"1310";"1590";"2000";"2900";"1030";"1570";;"410";"580";"710";"58";"82";"18";"1700";;;"48.7";"13.9";;"55.5";"8.8";"8.5";"9.8";"14.6";"19.1";"21.5";"70";"130";"20";"470";;;"205";"96";"325";"5";"55";"65";"15";"15";"70";"50";"50";"925";"795";"130";"0.8";"239";"65";"1.5";"0.5";"1.6";"1.6";"8.1";"439";"388";"51";"         .";;"2";"1538"
"9766";"BU09350300";"Maastricht                              ";"Buurt     ";"BU09350300";"1";"1585";"780";"795";"165";"150";"385";"510";"375";"750";"560";"160";"110";"310";"120";"15";"10";"5";"10";"85";"20";"10";"15";"9";"870";"410";"260";"200";"1.8";"1614";"759";"201";"57";"43";"97";"3";"40";"60";"46";"13";"0";"83";"17";"2840";"2450";"2950";"3480";"3220";"4600";"2570";"3250";"1100";"820";"1190";"1430";"1780";"3270";"960";"1310";;"340";"390";"510";"59";"83";"17";"1300";;;"47.1";"13.8";;"53.6";"8.2";"9.6";"10.5";"16.2";"20.7";"25.9";"70";"120";"10";"350";;;"175";"110";"155";"0";"15";"25";"15";"5";"30";"30";"35";"695";"615";"75";"0.8";"706";"45";"1.8";"0.5";"1.9";"1.9";"7.2";"147";"98";"49";"      6219";"1";"4";"999"
"9767";"BU09350301";"Maastricht                              ";"Buurt     ";"BU09350301";"1";"40";"20";"15";"0";"5";"15";"5";"15";"20";"10";"5";"5";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"10";"5";"5";"1.7";"87";"26";"252";"69";"31";"73";"27";"58";"38";"0";"38";"4";"100";"0";"3530";;;;;"4750";"2810";"4370";"1950";;;;;"2720";"1680";"2250";;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;"50";"0";"15";"25";"0";"0";"5";"0";"5";"20";"15";"5";;;"5";"1.2";"0.8";"1.1";"1.1";"8.8";"47";"47";"0";"      6219";"1";"2";"1529"
"9768";"BU09350302";"Maastricht                              ";"Buurt     ";"BU09350302";"1";"410";"170";"235";"30";"115";"80";"80";"100";"240";"130";"25";"10";"120";"35";"5";"0";"0";"0";"20";"0";"0";"5";"12";"250";"150";"60";"35";"1.6";"812";"183";"312";"54";"46";"97";"3";"30";"70";"46";"24";"0";"100";"0";"2890";"2520";"3010";"3100";;;"2550";"3690";"1520";"1140";"1660";"2010";;;"1200";"2250";;"50";"140";"160";"50";"82";"18";"300";;;"54.5";"13.5";;"64.6";"9";"5.7";"8.8";"10.7";"17";"6.6";"10";"10";"0";"90";;;"25";"61";"50";"0";"5";"0";"0";"5";"20";"15";"5";"135";"110";"25";"0.5";"274";"10";"0.4";"0.5";"0.5";"0.4";"12.6";"51";"50";"2";"      6217";"3";"1";"3695"
"9769";"BU09350303";"Maastricht                              ";"Buurt     ";"BU09350303";"1";"25";"15";"10";"5";"10";"10";"5";"5";"15";"10";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"10";"0";"5";"1.9";"24";"14";;;;;;;;;;;;;"3660";;;;;"3490";;"3630";"2480";;;;;"2730";;"2490";;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;"55";"0";"20";"10";"5";"5";"10";"0";"5";"45";"25";"15";;;"0";"2.3";"1.9";"2.2";"2.2";"3.4";"113";"113";"0";"      6219";"1";"4";"694"
"9770";"BU09350304";"Maastricht                              ";"Buurt     ";"BU09350304";"1";"75";"35";"35";"5";"20";"10";"20";"15";"40";"20";"5";"0";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"20";"10";"10";"2";"90";"30";"340";"100";"0";"93";"7";"93";"3";"0";"3";"3";"100";"0";"3470";;"3110";"3660";;"4330";;"3580";"2320";;"2020";"2640";;"2380";;"2290";;"0";"30";"20";;;;"100";;;;;;;;;;;;;"0";"0";"0";"20";;;;;"10";;;;;;;;;"30";"25";"5";;;"5";"1.7";"1.6";"1.6";"1.6";"4.3";"81";"81";"0";"      6218";"1";"5";"376"
"9771";"WK093504  ";"Maastricht                              ";"Wijk      ";"WK093504  ";"1";"30095";"14525";"15570";"3565";"5910";"6995";"7695";"5925";"16250";"9635";"2655";"1555";"5745";"3850";"490";"160";"80";"440";"2680";"215";"7";"335";"11";"16460";"8765";"4045";"3650";"1.8";"2299";"14855";"230";"57";"43";"94";"6";"39";"60";"38";"22";"1";"88";"12";"2570";"1990";"2820";"3030";"3410";"4550";"2180";"3160";"1240";"920";"1320";"1550";"1850";"2530";"1070";"1500";;"6720";"9360";"7970";"58";"87";"13";"23400";"31.6";"26.4";"48.4";"16.4";"27.2";"56.6";"12.9";"10.3";"10.2";"15.2";"19.2";"15.7";"1090";"1870";"230";"5470";;;"2715";"90";"2560";"10";"210";"460";"160";"150";"665";"560";"350";"11100";"9850";"1250";"0.7";"848";"680";"0.5";"0.6";"0.5";"0.6";"10.8";"1321";"1309";"12";"         .";;"2";"2355"
"9772";"BU09350400";"Maastricht                              ";"Buurt     ";"BU09350400";"1";"3735";"1860";"1875";"300";"795";"1010";"765";"860";"2210";"915";"385";"220";"825";"560";"90";"30";"10";"65";"365";"30";"8";"50";"13";"2355";"1500";"525";"325";"1.5";"4240";"2246";"194";"32";"68";"89";"11";"22";"77";"36";"41";"1";"99";"1";"2210";"1900";"2780";"2880";"3490";;"2050";"2730";"1110";"930";"1420";"1660";"1850";;"1040";"1350";;"680";"1150";"1280";"56";"88";"12";"3000";"28.9";"25.2";"49.7";"14.1";;"64.6";"6.8";"12";"11.6";"17.5";"21.8";"7.1";"150";"200";"40";"800";;;"400";"107";"305";"0";"25";"50";"20";"15";"80";"75";"40";"1295";"1155";"140";"0.5";"1468";"60";"0.5";"0.7";"0.5";"0.5";"14.3";"88";"88";"0";"      6224";"1";"1";"3547"
