"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"Koopwoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"Koopwoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Bedrijfsmotorvoertuigen_93";"Motorfietsen_94";"AfstandTotHuisartsenpraktijk_95";"AfstandTotGroteSupermarkt_96";"AfstandTotKinderdagverblijf_97";"AfstandTotSchool_98";"ScholenBinnen3Km_99";"OppervlakteTotaal_100";"OppervlakteLand_101";"OppervlakteWater_102";"MeestVoorkomendePostcode_103";"Dekkingspercentage_104";"MateVanStedelijkheid_105";"Omgevingsadressendichtheid_106"
"11269";"GM0935    ";"Maastricht                              ";"Gemeente  ";"GM0935    ";".";"122397";"58799";"63598";"13559";"23533";"28607";"32518";"24180";"63061";"41852";"10506";"6978";"23491";"11913";"1817";"643";"384";"1595";"7474";"927";"7";"1293";"10";"67775";"35975";"17379";"14421";"1.8";"2162";"60764";"174";"53";"47";"92";"8";"39";"59";"36";"22";"3";"92";"8";"2700";"2080";"3100";"3250";"3460";"4620";"2290";"3380";"1210";"860";"1370";"1570";"1880";"2700";"1080";"1540";;"94200";"27.2";"22.9";"47.3";"16.3";"49.4";"54.9";"13.2";"11.4";"9.9";"4020";"7780";"2770";"23750";"8545";"50";"895";"2360";"605";"775";"2465";"1395";"45130";"12365";"32765";"39720";"5405";"0.7";"797";"3875";"2945";"0.6";"0.6";"0.9";"0.6";"11.4";"6003";"5662";"341";"         .";;"2";"2326"
"11270";"WK093500  ";"Maastricht                              ";"Wijk      ";"WK093500  ";"1";"18045";"8540";"9505";"760";"6000";"4755";"3145";"3385";"12230";"3625";"1255";"940";"5195";"1640";"110";"115";"60";"135";"1230";"95";"5";"225";"12";"12640";"9215";"2595";"835";"1.4";"6618";"10780";"207";"20";"80";"81";"19";"21";"71";"23";"48";"8";"91";"9";"2400";"2180";"3130";"3370";"3890";"4900";"2170";"3030";"890";"690";"1670";"1690";"2350";"3300";"850";"1180";"15";"13400";"28.8";"25.9";"50.4";"19.2";"45.2";"65.3";"11.2";"11.4";"9.9";"300";"650";"300";"3300";"2735";"0";"125";"1070";"150";"295";"725";"365";"4890";"1475";"3420";"4135";"755";"0.4";"1793";"430";"235";"0.4";"0.4";"0.5";"0.4";"14.7";"310";"273";"38";"         .";;"1";"3646"
"11271";"BU09350000";"Maastricht                              ";"Buurt     ";"BU09350000";"1";"1990";"980";"1010";"35";"950";"535";"270";"195";"1555";"305";"90";"45";"735";"185";"10";"20";"10";"25";"130";"5";"4";"5";"3";"1575";"1240";"280";"55";"1.3";"6424";"1514";"208";"16";"84";"64";"36";"17";"66";"7";"59";"18";"98";"2";"2370";"2130";"3690";"5960";;;"2110";"2970";"1120";"1000";"1970";;;;"1040";"1530";;"1400";"24.8";"22.3";"57.7";"15.1";"42.7";"72.5";"8.9";"12.5";"11.1";"20";"30";"20";"200";"785";"0";"30";"530";"15";"50";"90";"75";"485";"160";"320";"390";"90";"0.3";"1557";"105";"20";"0.3";"0.4";"0.5";"0.4";"13.6";"36";"31";"5";"      6211";"1";"1";"4017"
"11272";"BU09350001";"Maastricht                              ";"Buurt     ";"BU09350001";"1";"1680";"805";"870";"80";"505";"365";"305";"420";"1050";"375";"115";"145";"520";"105";"0";"10";"5";"5";"90";"5";"4";"30";"19";"1105";"790";"240";"80";"1.4";"3329";"977";"288";"33";"67";"79";"21";"26";"68";"21";"47";"6";"98";"2";"2540";"2110";"3420";"3830";"4740";"5440";"2180";"3710";"1580";"1140";"1940";"2460";"3290";"4110";"1250";"2130";;"1200";"35.2";"31.1";"47.7";"23.2";"44.1";"61.5";"17";"11.1";"8.9";"20";"40";"30";"390";"265";"0";"15";"80";"5";"30";"70";"55";"515";"160";"355";"430";"85";"0.5";"1015";"40";"25";"0.3";"0.7";"0.3";"0.3";"13";"57";"51";"6";"      6211";"1";"1";"3839"
"11273";"BU09350002";"Maastricht                              ";"Buurt     ";"BU09350002";"1";"2330";"1030";"1300";"80";"780";"470";"325";"670";"1515";"450";"150";"215";"695";"155";"5";"20";"5";"15";"120";"5";"2";"80";"35";"1520";"1165";"280";"85";"1.3";"9135";"1174";"204";"20";"80";"86";"14";"24";"67";"23";"44";"9";"96";"4";"2480";"2240";"3340";"3480";"4400";;"2170";"3320";"1430";"1180";"1810";"1480";"2400";;"1280";"1580";;"1500";"28";"25.3";"53.5";"17.4";"42.9";"69.9";"11.7";"10.8";"9.2";"30";"50";"30";"630";"205";"0";"10";"50";"10";"20";"85";"30";"535";"145";"390";"460";"75";"0.4";"2096";"30";"20";"0.4";"0.5";"0.4";"0.4";"13.9";"26";"26";"0";"      6211";"1";"1";"3771"
"11274";"BU09350003";"Maastricht                              ";"Buurt     ";"BU09350003";"1";"3455";"1675";"1775";"105";"1445";"870";"570";"460";"2695";"405";"245";"115";"1075";"325";"35";"20";"10";"20";"250";"15";"4";"45";"14";"2440";"1935";"380";"130";"1.3";"8158";"1811";"167";"27";"73";"88";"12";"15";"80";"36";"44";"6";"96";"4";"2180";"1950";"2910";"3560";;;"2190";"2980";"960";"880";"1480";"1620";;;"1040";"1480";;"2400";"20.2";"18.3";"61";"10.7";"39";"78.3";"5";"15.7";"14";"80";"220";"70";"460";"265";"0";"25";"75";"15";"30";"65";"55";"625";"145";"475";"530";"90";"0.3";"1470";"65";"40";"0.7";"0.4";"0.3";"0.3";"13.5";"42";"42";"0";"      6211";"1";"1";"3390"
"11275";"BU09350004";"Maastricht                              ";"Buurt     ";"BU09350004";"1";"1755";"815";"935";"45";"505";"615";"320";"270";"1220";"310";"160";"70";"470";"165";"20";"15";"5";"10";"125";"15";"9";"15";"10";"1310";"945";"285";"85";"1.3";"5752";"1174";"149";"10";"90";"86";"14";"21";"76";"29";"47";"3";"98";"2";"2020";"1920";"2290";;;;"1880";"2200";"920";"920";"1310";;;;"870";"1230";"11.2";"1400";"27.7";"25.6";"45.2";"19.6";"53.2";"64.1";"7.5";"10.8";"10.2";"30";"70";"40";"270";"185";"0";"5";"60";"20";"25";"45";"30";"475";"130";"350";"420";"60";"0.4";"1562";"30";"35";"0.4";"0.4";"0.7";"0.7";"12.9";"40";"31";"9";"      6211";"1";"1";"3114"
"11276";"BU09350005";"Maastricht                              ";"Buurt     ";"BU09350005";"1";"1690";"770";"920";"155";"505";"450";"400";"180";"1130";"330";"165";"70";"370";"260";"35";"20";"10";"45";"155";"10";"6";"10";"5";"1125";"790";"190";"150";"1.5";"4620";"883";"145";"44";"56";"94";"6";"13";"84";"55";"29";"3";"100";"0";"2280";"1850";"2810";"2750";"2910";;"2210";"3290";"1260";"950";"1540";"1470";"1390";;"1160";"1790";;"1400";"21.9";"19.1";"58.3";"10.9";"44.7";"75.4";"7";"21.9";"17.5";"90";"90";"50";"180";"100";"0";"5";"15";"15";"5";"35";"25";"395";"70";"320";"340";"50";"0.3";"1076";"35";"20";"0.3";"0.5";"0.3";"0.6";"15.5";"45";"37";"8";"      6221";"1";"1";"3412"
"11277";"BU09350006";"Maastricht                              ";"Buurt     ";"BU09350006";"1";"5135";"2445";"2685";"250";"1300";"1440";"960";"1185";"3065";"1450";"330";"290";"1345";"455";"20";"25";"25";"25";"370";"30";"6";"25";"5";"3550";"2355";"945";"255";"1.4";"9156";"3247";"243";"11";"89";"80";"20";"27";"65";"13";"52";"8";"75";"25";"2610";"2410";"3880";"3910";;;"2310";"3010";"500";"300";"2010";"1610";;;"400";"570";"42.3";"4100";"36.1";"32.5";"40.7";"27.6";"48.4";"50.9";"16.7";"6.4";"5.7";"40";"140";"60";"1180";"930";"0";"40";"255";"65";"135";"340";"95";"1865";"660";"1205";"1560";"305";"0.5";"3327";"120";"75";"0.4";"0.4";"0.8";"0.5";"17.1";"66";"56";"10";"      6221";"1";"1";"3705"
"11278";"WK093501  ";"Maastricht                              ";"Wijk      ";"WK093501  ";"1";"8720";"4065";"4655";"1165";"960";"1455";"2625";"2510";"3495";"3890";"585";"755";"1450";"225";"10";"25";"25";"15";"165";"55";"6";"130";"15";"4230";"1655";"1460";"1125";"2";"998";"4292";"316";"73";"27";"93";"7";"66";"32";"7";"25";"3";"99";"1";"3220";"2080";"3410";"3440";"3820";"4890";"2310";"3750";"1960";"1550";"1830";"2000";"2300";"3330";"1690";"2180";;"6800";"42.5";"34.9";"33.4";"33.7";"56";"29.4";"34.7";"4";"4";"50";"230";"140";"2470";"825";"5";"65";"120";"40";"120";"335";"145";"4360";"1365";"2995";"3505";"855";"1";"499";"210";"270";"0.8";"0.7";"1.5";"0.7";"10";"915";"874";"41";"         .";;"2";"1752"
"11279";"BU09350100";"Maastricht                              ";"Buurt     ";"BU09350100";"1";"3125";"1455";"1670";"440";"405";"560";"940";"775";"1395";"1325";"185";"225";"600";"90";"5";"15";"10";"10";"60";"20";"6";"25";"7";"1600";"695";"520";"395";"2";"3933";"1493";"365";"69";"31";"92";"8";"74";"25";"5";"20";"2";"98";"2";"3380";"2470";"3740";"3440";"3870";"4620";"2560";"3680";"1940";"1310";"2030";"2190";"2400";"3240";"1640";"2130";;"2400";"46.6";"37.9";"32.7";"36.5";"56.6";"27.9";"37";"3.7";"3.5";"20";"60";"50";"760";"360";"0";"15";"60";"20";"60";"160";"50";"1745";"590";"1155";"1285";"455";"1.1";"2191";"95";"105";"0.4";"0.4";"1.2";"0.5";"10.3";"101";"80";"21";"      6212";"1";"2";"1829"
"11280";"BU09350101";"Maastricht                              ";"Buurt     ";"BU09350101";"1";"1185";"570";"615";"195";"125";"215";"405";"245";"500";"530";"95";"65";"185";"40";"5";"5";"5";"0";"30";"5";"5";"10";"9";"540";"180";"170";"195";"2.2";"3805";"557";"293";"90";"10";"90";"10";"69";"30";"18";"12";"1";"100";"0";"3170";"2430";"3060";"3200";"3410";"5580";"2490";"3520";"1860";"1610";"1710";"1890";"2020";"3440";"1490";"2030";;"900";"41";"32.6";"32.9";"35.2";"59.6";"29";"38";"4.6";"3.6";"20";"50";"30";"240";"90";"0";"10";"10";"5";"10";"35";"25";"540";"125";"415";"455";"85";"1";"1726";"30";"50";"0.8";"0.7";"1.2";"0.7";"9.5";"31";"31";"0";"      6212";"1";"2";"1819"
"11281";"BU09350102";"Maastricht                              ";"Buurt     ";"BU09350102";"1";"1535";"705";"825";"200";"150";"245";"445";"485";"575";"695";"100";"170";"240";"30";"5";"0";"5";"5";"25";"10";"7";"30";"20";"720";"275";"250";"200";"2";"2753";"761";"333";"79";"21";"94";"6";"67";"32";"2";"30";"1";"99";"1";"3290";"1650";"3250";"3450";"3720";"5150";"2300";"3900";"2140";;"1800";"2090";"2300";"3510";"2080";"2350";;"1200";"44.4";"36.8";"31.1";"37.5";"59.7";"25.7";"39.2";"4.1";"4.4";"0";"30";"20";"490";"145";"0";"15";"20";"5";"20";"60";"25";"725";"215";"510";"605";"120";"1";"1302";"35";"50";"1.2";"0.6";"1.5";"1.3";"12.7";"56";"56";"0";"      6213";"1";"2";"2142"
"11282";"BU09350103";"Maastricht                              ";"Buurt     ";"BU09350103";"1";"1270";"555";"710";"110";"105";"145";"310";"600";"390";"580";"85";"220";"180";"30";"0";"5";"5";"0";"20";"0";"1";"50";"41";"620";"290";"225";"115";"1.8";"3246";"787";"278";"45";"55";"91";"9";"45";"46";"0";"46";"9";"99";"1";"2780";"1680";"3370";"4110";"4190";"4950";"1800";"4030";"2360";"2260";"1880";"2220";"2420";"3510";"2240";"2500";;"1000";"41.3";"35.2";"35.1";"31.5";"47.2";"38.4";"28.7";"3.5";"4.7";"0";"30";"20";"580";"70";"0";"5";"10";"0";"15";"35";"10";"595";"220";"375";"515";"80";"1";"1520";"10";"25";"1.2";"1.2";"1.5";"0.9";"10.9";"39";"39";"0";"      6213";"1";"2";"1878"
"11283";"BU09350104";"Maastricht                              ";"Buurt     ";"BU09350104";"1";"1440";"690";"750";"200";"160";"265";"455";"365";"575";"685";"115";"70";"225";"45";"5";"5";"10";"0";"35";"10";"9";"10";"7";"675";"205";"270";"205";"2.1";"2653";"634";"229";"92";"8";"97";"3";"68";"31";"16";"16";"0";"100";"0";"3240";"2070";"3170";"3400";"3600";"4440";"2540";"3620";"1720";"1400";"1570";"1790";"2120";"2640";"1400";"1900";;"1200";"33";"27";"36";"23.9";"54.8";"29.6";"25.6";"4.7";"4.2";"10";"50";"30";"360";"95";"5";"10";"15";"5";"0";"30";"25";"665";"185";"475";"580";"85";"1";"1219";"35";"30";"0.9";"0.9";"2";"0.4";"6.3";"54";"54";"0";"      6213";"2";"3";"1041"
"11284";"BU09350105";"Maastricht                              ";"Buurt     ";"BU09350105";"1";"155";"75";"75";"15";"15";"25";"60";"35";"55";"80";"10";"10";"30";"5";"0";"0";"0";"0";"5";"0";"0";"0";"6";"65";"15";"30";"20";"2.3";"25";"60";"484";"95";"5";"93";"7";"82";"15";"0";"15";"3";"100";"0";"4480";;;;"5130";"4850";"2470";"5050";"2920";;;;"2630";"3330";;"2910";;"100";"56.2";"45.8";"37.9";"41.9";"57.4";;;;;"0";"10";"0";"40";"65";"0";"10";"5";"5";"10";"20";"15";"90";"30";"65";"65";"25";"1.4";"15";"10";"10";"2";"1.9";"2.7";"1.8";"5.6";"633";"614";"20";"      6212";"3";"4";"544"
"11285";"WK093502  ";"Maastricht                              ";"Wijk      ";"WK093502  ";"1";"37665";"18035";"19630";"4405";"6365";"8650";"10110";"8140";"18255";"13380";"3710";"2325";"7155";"4860";"945";"180";"115";"830";"2790";"315";"8";"395";"10";"20735";"10520";"5320";"4900";"1.8";"4262";"18462";"138";"57";"43";"95";"5";"35";"64";"52";"12";"1";"92";"8";"2610";"2040";"2970";"3070";"3190";"4190";"2270";"3260";"1200";"920";"1310";"1490";"1580";"2260";"1100";"1440";;"29300";"23.3";"19.6";"50.6";"10.7";"46.4";"58.6";"8.5";"13.8";"12.2";"1820";"2960";"900";"8010";"1440";"15";"205";"320";"115";"80";"370";"335";"13330";"3280";"10050";"12140";"1190";"0.6";"1508";"675";"835";"0.6";"0.5";"0.9";"0.5";"10.3";"884";"884";"0";"         .";;"2";"2357"
"11286";"BU09350200";"Maastricht                              ";"Buurt     ";"BU09350200";"1";"5755";"2640";"3110";"440";"1845";"1340";"1075";"1050";"3720";"1380";"370";"285";"1655";"1060";"85";"30";"20";"120";"815";"30";"5";"55";"9";"4005";"2885";"680";"445";"1.4";"6289";"2409";"153";"41";"59";"93";"7";"38";"58";"29";"29";"3";"98";"2";"2450";"2010";"3020";"2920";"3210";"4260";"2120";"2990";"1340";"1180";"1510";"1630";"1520";"2180";"1200";"1640";;"3700";"24.9";"21.3";"47.8";"13.7";"47.5";"61.2";"9.8";"11";"9";"130";"230";"90";"1020";"295";"0";"30";"80";"15";"20";"85";"70";"1510";"380";"1125";"1345";"165";"0.4";"1647";"100";"105";"0.5";"0.4";"0.7";"0.5";"13.5";"92";"92";"0";"      6217";"3";"1";"3176"
"11287";"BU09350201";"Maastricht                              ";"Buurt     ";"BU09350201";"1";"5000";"2350";"2650";"535";"1105";"1265";"1235";"860";"2895";"1290";"565";"250";"1195";"660";"120";"50";"20";"70";"405";"45";"9";"45";"9";"3050";"1800";"660";"595";"1.6";"9185";"2573";"129";"65";"35";"94";"6";"14";"84";"67";"17";"1";"96";"4";"2420";"2030";"2670";"2580";"2480";"3340";"2370";"2930";"1230";"1100";"1260";"1390";"1250";"1650";"1180";"1550";;"3700";"20.7";"17.2";"59";"7.6";"39.3";"73.2";"4.4";"21.1";"18";"360";"450";"110";"850";"225";"0";"25";"45";"10";"15";"70";"60";"1465";"290";"1175";"1340";"125";"0.5";"2689";"85";"100";"0.8";"0.4";"0.9";"0.6";"13.6";"54";"54";"0";"      6214";"1";"1";"3128"
"11288";"BU09350202";"Maastricht                              ";"Buurt     ";"BU09350202";"1";"2585";"1220";"1365";"250";"395";"575";"655";"710";"1105";"1130";"185";"170";"440";"115";"10";"15";"10";"20";"75";"25";"10";"25";"10";"1385";"605";"485";"305";"1.9";"5305";"1286";"149";"56";"44";"97";"3";"81";"19";"0";"19";"0";"100";"0";"2860";"2480";"3100";"3160";"3650";;"2290";"2990";"1370";"1040";"1540";"1740";"2060";;"1260";"1470";;"2100";"26.6";"23";"38.3";"15.8";"55.2";"36.9";"10.7";"2.3";"1.9";"10";"90";"60";"700";"90";"5";"10";"20";"5";"5";"30";"15";"1135";"320";"815";"1070";"65";"0.8";"2326";"45";"70";"0.7";"0.5";"0.5";"0.5";"11.4";"49";"49";"0";"      6216";"1";"1";"2709"
"11289";"BU09350203";"Maastricht                              ";"Buurt     ";"BU09350203";"1";"2430";"1195";"1235";"320";"250";"640";"670";"550";"1110";"860";"300";"165";"390";"420";"115";"10";"5";"90";"215";"25";"11";"20";"8";"1315";"615";"355";"350";"1.8";"4871";"1311";"108";"59";"41";"97";"3";"14";"86";"84";"2";"0";"99";"1";"2320";"1770";"2590";"2680";"3210";;"2160";"3360";"1140";"910";"1150";"1300";"1870";;"1070";"1600";;"2000";"20.2";"16.9";"58.4";"5.6";"41.8";"71.7";"4.5";"22.4";"18.4";"250";"270";"80";"540";"55";"0";"5";"15";"10";"0";"15";"10";"880";"165";"715";"785";"100";"0.7";"1763";"45";"55";"0.4";"0.8";"1.2";"0.3";"11";"50";"50";"0";"      6216";"1";"2";"2208"
"11290";"BU09350204";"Maastricht                              ";"Buurt     ";"BU09350204";"1";"2405";"1185";"1220";"340";"355";"605";"620";"480";"1210";"770";"280";"145";"345";"590";"210";"10";"10";"105";"260";"25";"10";"15";"7";"1265";"595";"325";"350";"1.9";"6128";"1283";"109";"45";"55";"96";"4";"13";"87";"85";"2";"0";"98";"2";"2230";"1730";"2800";"2780";"3160";;"2130";"2860";"1100";"910";"1230";"1480";"1640";;"1080";"1270";;"2000";"18.8";"15.4";"60.4";"3.8";"40.3";"72.3";"2.6";"23.6";"18.3";"230";"250";"90";"470";"70";"0";"15";"10";"5";"5";"10";"25";"755";"135";"625";"685";"70";"0.6";"1926";"40";"30";"0.6";"0.7";"0.6";"0.9";"10.3";"39";"39";"0";"      6217";"1";"1";"2516"
"11291";"BU09350205";"Maastricht                              ";"Buurt     ";"BU09350205";"1";"3405";"1635";"1765";"515";"535";"845";"905";"595";"1780";"1040";"395";"190";"620";"685";"185";"20";"15";"130";"340";"40";"12";"30";"9";"1745";"825";"410";"515";"1.9";"5616";"1625";"122";"64";"36";"96";"4";"14";"84";"79";"5";"1";"88";"12";"2490";"1820";"2740";"3000";"3020";"3560";"2370";"3100";"1170";"790";"1260";"1510";"1860";"3370";"1140";"1380";;"2700";"19.3";"15.4";"60.2";"5.5";"41.7";"70.3";"4.1";"20.9";"18.7";"290";"350";"90";"590";"135";"0";"15";"35";"15";"0";"25";"40";"1050";"195";"850";"945";"105";"0.6";"1729";"55";"50";"0.4";"0.4";"0.5";"0.4";"11";"61";"61";"0";"      6217";"1";"2";"2106"
"11292";"BU09350206";"Maastricht                              ";"Buurt     ";"BU09350206";"1";"1915";"860";"1050";"210";"170";"320";"510";"700";"655";"825";"155";"285";"270";"95";"10";"5";"5";"30";"55";"10";"5";"60";"31";"1020";"505";"290";"225";"1.8";"1163";"1053";"175";"56";"44";"95";"5";"54";"37";"31";"6";"9";"74";"26";"2800";"2000";"3250";"3570";"3600";"4570";"2030";"3390";"1280";"680";"1580";"1860";"2080";"2630";"850";"1630";;"1600";"27.4";"23.6";"42.4";"16.3";"51.8";"48.1";"14.1";"5.3";"6.7";"20";"110";"40";"700";"85";"5";"10";"15";"5";"0";"25";"20";"795";"215";"580";"715";"80";"0.8";"483";"40";"55";"0.6";"0.7";"0.8";"0.8";"7.6";"165";"165";"0";"      6218";"1";"2";"1860"
"11293";"BU09350207";"Maastricht                              ";"Buurt     ";"BU09350207";"1";"5350";"2550";"2795";"590";"650";"1125";"1505";"1470";"2150";"2210";"595";"395";"955";"710";"145";"35";"20";"190";"330";"35";"7";"70";"13";"2725";"1135";"855";"740";"1.9";"4107";"2784";"122";"62";"38";"90";"10";"24";"75";"70";"5";"1";"82";"18";"2600";"1910";"2980";"3100";"2740";"4090";"2390";"3350";"980";"630";"1130";"1300";"1310";"2280";"980";"1150";;"4300";"20.6";"17.6";"55.8";"6.3";"41.7";"61.6";"5.9";"13.6";"13.7";"290";"540";"110";"1460";"155";"0";"40";"40";"15";"10";"25";"20";"2040";"485";"1555";"1860";"180";"0.7";"1565";"110";"125";"0.4";"0.4";"1.2";"0.5";"7.7";"130";"130";"0";"      6218";"1";"2";"1738"
"11294";"BU09350208";"Maastricht                              ";"Buurt     ";"BU09350208";"1";"2050";"1060";"990";"430";"275";"470";"725";"145";"940";"975";"105";"30";"255";"150";"5";"10";"5";"40";"100";"10";"6";"0";"1";"735";"110";"210";"420";"2.8";"1529";"711";"247";"90";"10";"99";"1";"87";"13";"0";"13";"0";"62";"38";"3830";"2860";"3810";"3840";"4250";"4590";"2870";"3960";"1330";"890";"1260";"1360";"1450";"2100";"1220";"1340";;"1600";"34";"26";"34.3";"28";"67.3";"13.3";"34.5";"2.2";"2.2";"10";"80";"50";"150";"110";"0";"25";"15";"10";"10";"35";"15";"915";"355";"560";"800";"110";"1.2";"680";"55";"60";"1.4";"1.3";"1.2";"0.8";"7.3";"134";"134";"0";"      6215";"1";"2";"1690"
"11295";"BU09350209";"Maastricht                              ";"Buurt     ";"BU09350209";"1";"6750";"3325";"3425";"765";"775";"1455";"2190";"1565";"2690";"2905";"755";"405";"1050";"390";"85";"15";"25";"55";"215";"50";"7";"60";"9";"3480";"1465";"1065";"960";"1.9";"6155";"3427";"140";"53";"47";"97";"3";"48";"52";"42";"10";"0";"100";"0";"2760";"2250";"3180";"3180";"4090";"3840";"2220";"3340";"1190";"920";"1370";"1540";"1770";"2000";"1100";"1420";;"5700";"25.4";"21.7";"43.9";"12.5";"49.6";"48.7";"10.4";"9.7";"9.1";"230";"580";"190";"1540";"210";"0";"30";"45";"15";"15";"50";"60";"2785";"735";"2050";"2600";"190";"0.8";"2541";"95";"185";"0.5";"0.6";"1.1";"0.5";"8";"110";"110";"0";"      6215";"1";"2";"1992"
