"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"Koopwoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"Koopwoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Bedrijfsmotorvoertuigen_93";"Motorfietsen_94";"AfstandTotHuisartsenpraktijk_95";"AfstandTotGroteSupermarkt_96";"AfstandTotKinderdagverblijf_97";"AfstandTotSchool_98";"ScholenBinnen3Km_99";"OppervlakteTotaal_100";"OppervlakteLand_101";"OppervlakteWater_102";"MeestVoorkomendePostcode_103";"Dekkingspercentage_104";"MateVanStedelijkheid_105";"Omgevingsadressendichtheid_106"
"11306";"BU09350403";"Maastricht                              ";"Buurt     ";"BU09350403";"1";"3200";"1600";"1595";"345";"560";"880";"875";"540";"1740";"895";"380";"185";"515";"440";"80";"20";"10";"55";"280";"35";"11";"25";"8";"1890";"1040";"460";"400";"1.7";"2497";"1760";"111";"51";"49";"91";"9";"17";"82";"66";"16";"1";"99";"1";"2450";"2110";"2670";"2720";"3230";"4370";"2280";"3120";"1040";"860";"1120";"1260";"1710";"3120";"1020";"1310";;"2600";"20.3";"17.3";"55.2";"5.7";"44.5";"72.7";"3.3";"20.3";"15.9";"250";"340";"110";"530";"160";"0";"20";"40";"15";"15";"35";"35";"1085";"215";"870";"985";"100";"0.6";"846";"65";"75";"0.4";"0.4";"1.7";"0.5";"8.6";"128";"128";"0";"      6222";"1";"2";"1500"
"11307";"BU09350404";"Maastricht                              ";"Buurt     ";"BU09350404";"1";"2120";"1015";"1100";"235";"660";"415";"520";"285";"1225";"645";"165";"85";"305";"260";"60";"10";"5";"15";"180";"20";"10";"10";"5";"965";"470";"250";"250";"1.9";"1734";"825";"134";"82";"18";"95";"5";"30";"68";"58";"10";"2";"93";"7";"2900";"2030";"2970";"3110";"3490";"3910";"2660";"3450";"1340";"740";"1290";"1560";"1850";"2330";"1260";"1450";;"1400";"20.3";"16.7";"56.5";"8.1";"44.8";"63.7";"5.3";"16.4";"13.3";"100";"160";"50";"280";"70";"0";"10";"20";"5";"5";"15";"15";"615";"125";"490";"580";"35";"0.6";"503";"35";"70";"1";"1.1";"2.1";"1.2";"6.7";"132";"122";"9";"      6222";"1";"3";"1036"
"11308";"BU09350405";"Maastricht                              ";"Buurt     ";"BU09350405";"1";"6610";"3100";"3510";"865";"1260";"1500";"1800";"1180";"3425";"2405";"460";"320";"1140";"490";"50";"30";"15";"40";"365";"35";"5";"40";"6";"3575";"1860";"935";"785";"1.8";"1796";"3151";"221";"56";"44";"91";"9";"55";"41";"17";"24";"4";"90";"10";"3060";"2160";"3340";"3830";"3770";"4810";"2330";"3560";"1500";"900";"1680";"1920";"2170";"2770";"1170";"1810";;"5000";"34.3";"28.1";"41";"25.7";"53.1";"46.2";"23.6";"7";"5.9";"90";"270";"130";"1170";"440";"5";"35";"95";"30";"40";"180";"55";"2765";"885";"1880";"2350";"415";"0.8";"751";"200";"160";"0.6";"0.6";"0.4";"0.5";"14";"368";"368";"0";"      6226";"2";"2";"2304"
"11309";"BU09350406";"Maastricht                              ";"Buurt     ";"BU09350406";"1";"6515";"3110";"3400";"1025";"915";"1190";"2020";"1360";"2685";"2965";"420";"445";"795";"375";"25";"20";"25";"25";"290";"40";"6";"90";"14";"2875";"960";"920";"1000";"2.2";"1430";"2687";"212";"81";"19";"95";"5";"66";"31";"24";"7";"3";"90";"10";"3300";"2230";"3330";"3530";"3750";"5010";"2430";"3690";"1410";"870";"1360";"1580";"1870";"2370";"1090";"1570";;"4900";"31.8";"25.4";"37.6";"24.1";"58.2";"32.2";"25.7";"4.7";"4";"50";"310";"150";"1360";"365";"5";"50";"65";"25";"35";"110";"70";"2775";"895";"1880";"2495";"280";"1";"609";"215";"200";"0.5";"0.6";"0.8";"0.8";"7";"457";"456";"1";"      6225";"1";"4";"992"
"11310";"WK093505  ";"Maastricht                              ";"Wijk      ";"WK093505  ";"1";"2725";"1400";"1325";"295";"285";"540";"870";"730";"990";"1340";"215";"185";"330";"45";"10";"5";"5";"5";"30";"15";"5";"20";"8";"1315";"440";"500";"380";"2.1";"283";"1322";"175";"88";"12";"93";"7";"68";"30";"17";"13";"2";"96";"4";"3230";"2180";"3300";"3220";"3130";"4040";"2550";"3530";"1680";"950";"1520";"1630";"1730";"2360";"1300";"1830";;"2300";"27.2";"23.1";"42.6";"15.1";"51.8";"38.9";"15.4";"5.6";"4.4";"40";"160";"70";"720";"405";"5";"105";"125";"30";"30";"75";"25";"1580";"475";"1105";"1365";"215";"1.2";"163";"665";"185";"1.3";"3.8";"4.2";"1.3";"1.3";"1045";"965";"80";"         .";;"5";"270"
"11311";"BU09350500";"Maastricht                              ";"Buurt     ";"BU09350500";"1";"15";"15";"0";"0";"10";"5";"0";"0";"15";"0";"0";"0";"5";"5";"0";"0";"5";"0";"5";"0";"0";"0";"0";"10";"15";"0";"0";"1.4";"9";"33";;"55";"45";"12";"88";"12";"58";"0";"58";"30";"70";"30";"3900";;;;;;;"3990";"2020";;;;;;;"1970";;"0";;;;;;;;;;;;;;"255";"0";"80";"100";"20";"20";"30";"5";"175";"100";"75";"105";"65";;;"495";"5";"1.9";"1.9";"3";"1.8";"3";"222";"202";"20";"      6222";"1";"5";"243"
"11312";"BU09350501";"Maastricht                              ";"Buurt     ";"BU09350501";"1";"1740";"875";"865";"185";"180";"350";"540";"475";"620";"865";"140";"115";"225";"30";"5";"0";"5";"5";"20";"5";"4";"10";"7";"845";"275";"330";"240";"2.1";"523";"843";"157";"86";"14";"95";"5";"65";"33";"21";"13";"2";"96";"4";"3060";"2060";"3160";"3130";"3000";"4190";"2430";"3400";"1560";"830";"1480";"1570";"1760";"2390";"1160";"1790";;"1500";"26.5";"22.4";"43.8";"13.7";"50.7";"39.9";"13.4";"5.7";"4.2";"30";"110";"50";"470";"75";"5";"15";"15";"5";"5";"20";"15";"870";"245";"625";"775";"95";"1";"261";"85";"95";"0.5";"4.1";"4.6";"0.5";"1";"360";"333";"27";"      6223";"1";"5";"340"
"11313";"BU09350502";"Maastricht                              ";"Buurt     ";"BU09350502";"1";"940";"490";"450";"110";"95";"180";"315";"240";"345";"460";"70";"65";"100";"10";"5";"5";"0";"0";"5";"5";"7";"5";"9";"440";"150";"165";"135";"2.1";"335";"430";"198";"95";"5";"97";"3";"77";"22";"11";"10";"1";"97";"3";"3530";"2230";"3660";"3450";"3340";"3910";"2780";"3740";"1810";"1290";"1630";"1780";"1670";"2220";"1580";"1880";;"800";"28.3";"23.9";"40";"17.6";"54.3";"36.1";"18.7";"5.7";"4.8";"10";"50";"30";"240";"45";"0";"5";"10";"5";"0";"15";"5";"510";"125";"380";"460";"45";"1.1";"180";"75";"85";"2.9";"3.5";"3.5";"2.8";"1.6";"313";"282";"31";"      6223";"1";"5";"142"
"11314";"BU09350503";"Maastricht                              ";"Buurt     ";"BU09350503";"1";"20";"15";"5";"0";"0";"0";"10";"10";"5";"15";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41";"10";"5";"5";"5";"1.7";"16";"16";;;;;;;;;;;;;"5070";;;;;;;;"4770";;;;;;;"3700";;"0";;;;;;;;;;;;;;"30";"0";"0";"5";"0";"5";"10";"5";"25";"5";"20";"20";"5";;;"5";"0";"1.8";"1.7";"2.1";"1.1";"5.3";"150";"149";"2";"      6222";"1";"5";"203"
"11315";"WK093506  ";"Maastricht                              ";"Wijk      ";"WK093506  ";"1";"21610";"10585";"11020";"2745";"3195";"5235";"6820";"3610";"10285";"8440";"1915";"970";"3545";"1635";"155";"175";"90";"130";"1090";"185";"8";"205";"9";"10770";"4735";"3020";"3020";"2";"2228";"10239";"166";"61";"39";"95";"5";"49";"50";"34";"16";"1";"95";"5";"2810";"1980";"3230";"3370";"3420";"4690";"2340";"3380";"1230";"890";"1280";"1520";"1840";"2480";"1090";"1440";;"16900";"27.8";"23";"43.4";"17";"54.9";"47.4";"15.2";"9.9";"8.3";"580";"1560";"570";"3550";"1280";"10";"165";"310";"120";"105";"385";"190";"8860";"2430";"6430";"7950";"910";"0.8";"914";"745";"600";"0.6";"0.7";"0.6";"0.5";"12.3";"1089";"970";"119";"         .";;"2";"1643"
"11316";"BU09350600";"Maastricht                              ";"Buurt     ";"BU09350600";"1";"2070";"1030";"1035";"210";"305";"605";"650";"300";"1080";"730";"185";"80";"360";"245";"5";"15";"15";"10";"200";"10";"6";"15";"8";"1185";"655";"275";"265";"1.7";"766";"1184";"176";"38";"62";"81";"19";"46";"53";"12";"41";"0";"100";"0";"2310";"1730";"3140";"3540";"3770";;"1690";"2980";"920";"730";"1160";"1390";"1370";;"770";"1100";;"1600";"32.5";"27.4";"35.3";"25.4";"58.9";"39.8";"19.3";"7.4";"6.1";"40";"100";"50";"290";"320";"5";"40";"65";"35";"45";"100";"25";"1045";"385";"660";"870";"175";"0.9";"387";"265";"60";"0.8";"0.7";"0.4";"0.4";"14.7";"278";"270";"8";"      6229";"1";"2";"1779"
"11317";"BU09350601";"Maastricht                              ";"Buurt     ";"BU09350601";"1";"4615";"2160";"2450";"545";"760";"1000";"1435";"870";"2330";"1645";"400";"240";"720";"290";"25";"40";"10";"20";"205";"30";"6";"70";"15";"2200";"1015";"590";"600";"1.9";"2984";"2158";"183";"59";"41";"96";"4";"45";"52";"36";"16";"2";"93";"7";"2740";"1940";"3200";"3410";"3470";"4230";"2350";"3360";"1210";"830";"1290";"1580";"1960";"2550";"1020";"1490";;"3400";"27.6";"23";"45.4";"17.4";"53.6";"49.6";"15.6";"8.7";"7.5";"120";"490";"80";"860";"210";"0";"20";"45";"20";"15";"75";"35";"1700";"460";"1240";"1535";"165";"0.8";"1099";"85";"105";"0.7";"0.8";"0.5";"0.7";"9.3";"266";"155";"112";"      6229";"1";"3";"1223"
"11318";"BU09350602";"Maastricht                              ";"Buurt     ";"BU09350602";"1";"7580";"3710";"3865";"895";"1115";"1725";"2370";"1475";"3420";"3125";"665";"375";"1290";"485";"75";"25";"30";"55";"310";"65";"8";"55";"7";"3920";"1710";"1185";"1035";"1.9";"3550";"3540";"162";"69";"31";"96";"4";"48";"51";"35";"16";"1";"96";"4";"2830";"2010";"3090";"3220";"3240";"4590";"2390";"3360";"1360";"910";"1330";"1610";"1850";"2620";"1140";"1600";;"6200";"25.6";"21.6";"46";"14.2";"53.2";"49.9";"13.2";"10";"8.4";"230";"490";"210";"1440";"395";"0";"65";"100";"30";"20";"105";"65";"3035";"775";"2260";"2770";"265";"0.8";"1422";"230";"235";"0.5";"0.7";"0.4";"0.5";"14.1";"214";"214";"0";"      6227";"1";"2";"1954"
"11319";"BU09350603";"Maastricht                              ";"Buurt     ";"BU09350603";"1";"6280";"3165";"3110";"905";"895";"1735";"2030";"720";"3045";"2455";"615";"165";"1060";"575";"55";"95";"40";"55";"340";"70";"11";"30";"4";"3090";"1285";"855";"955";"2";"4443";"2978";"135";"61";"39";"97";"3";"51";"49";"42";"6";"0";"100";"0";"2880";"2070";"3310";"3340";"3520";"4440";"2450";"3330";"1220";"1050";"1200";"1380";"1790";"2260";"1200";"1310";;"5000";"26.3";"21.3";"43.1";"14.3";"55.1";"48.1";"11.4";"12.1";"9.9";"190";"460";"210";"710";"280";"0";"35";"85";"30";"10";"70";"50";"2620";"625";"2000";"2385";"235";"0.8";"1854";"150";"185";"0.6";"0.6";"1.1";"0.4";"11.5";"141";"141";"0";"      6228";"1";"2";"1509"
"11320";"BU09350604";"Maastricht                              ";"Buurt     ";"BU09350604";"1";"1060";"505";"550";"190";"115";"170";"335";"245";"410";"485";"50";"115";"125";"55";"0";"5";"0";"0";"50";"0";"1";"30";"30";"365";"75";"125";"170";"2.6";"559";"379";"343";"72";"28";"98";"2";"70";"30";"23";"7";"0";"34";"66";"4200";"2380";"4510";"5000";"4930";"5740";"2610";"4810";"1530";"750";"1610";"1780";"1550";"2540";"890";"1800";;"700";"48.5";"36.6";"31.2";"38.9";"65.8";"24.2";"52.2";"4.2";"3.9";"10";"20";"20";"250";"80";"5";"0";"10";"5";"15";"35";"10";"455";"190";"270";"390";"70";"1.3";"241";"15";"15";"0.7";"0.7";"0.9";"0.6";"13.6";"190";"190";"0";"      6228";"3";"2";"1538"
