"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"Nettoarbeidsparticipatie_64";"PercentageWerknemers_65";"PercentageZelfstandigen_66";"AantalInkomensontvangers_67";"GemiddeldInkomenPerInkomensontvanger_68";"GemiddeldInkomenPerInwoner_69";"k_40PersonenMetLaagsteInkomen_70";"k_20PersonenMetHoogsteInkomen_71";"GemGestandaardiseerdInkomenVanHuish_72";"k_40HuishoudensMetLaagsteInkomen_73";"k_20HuishoudensMetHoogsteInkomen_74";"HuishoudensMetEenLaagInkomen_75";"HuishOnderOfRondSociaalMinimum_76";"HuishoudensTot110VanSociaalMinimum_77";"HuishoudensTot120VanSociaalMinimum_78";"MediaanVermogenVanParticuliereHuish_79";"PersonenPerSoortUitkeringBijstand_80";"PersonenPerSoortUitkeringAO_81";"PersonenPerSoortUitkeringWW_82";"PersonenPerSoortUitkeringAOW_83";"JongerenMetJeugdzorgInNatura_84";"PercentageJongerenMetJeugdzorg_85";"WmoClienten_86";"WmoClientenRelatief_87";"TotaalDiefstalUitWoningSchuurED_88";"VernielingMisdrijfTegenOpenbareOrde_89";"GeweldsEnSeksueleMisdrijven_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"9554";"BU09350405";"Maastricht                              ";"Buurt     ";"BU09350405";"1";"6510";"3045";"3465";"790";"1235";"1455";"1755";"1270";"3425";"2305";"465";"310";"1220";"535";"55";"30";"20";"40";"405";"35";"6";"45";"7";"3485";"1800";"955";"735";"1.8";"1769";"3213";"247";"54";"46";"91";"9";"55";"41";"18";"23";"4";"90";"10";"2860";"2120";"3160";"3580";"3570";"4550";"2320";"3350";"1460";"920";"1680";"1890";"2080";"2770";"1160";"1760";;"61";"83";"17";"4900";"36.6";"30.1";"40.3";"25.7";"29.4";"46";"22.7";"6.7";"5.2";"8.6";"10.7";"50.1";"120";"310";"80";"1190";"105";"5.9";"390";"60";"7";"3";"5";"495";"5";"40";"105";"35";"55";"180";"70";"2740";"2335";"405";"0.8";"744";"145";"0.5";"0.6";"0.4";"0.5";"11.7";"368";"368";"0";"      6226";"2";"2";"2412"
"9555";"BU09350406";"Maastricht                              ";"Buurt     ";"BU09350406";"1";"6585";"3165";"3420";"910";"1010";"1145";"2010";"1510";"2765";"2930";"450";"445";"900";"450";"20";"20";"20";"30";"370";"40";"6";"95";"15";"2945";"1050";"925";"975";"2.2";"1446";"2716";"239";"80";"20";"96";"4";"67";"32";"25";"7";"1";"89";"11";"3120";"2240";"3150";"3310";"3420";"4820";"2350";"3500";"1400";"810";"1360";"1580";"1870";"2440";"1070";"1570";;"65";"87";"13";"5000";"33.7";"27.6";"38.5";"23.2";"30.4";"32.7";"24.4";"3.6";"3.3";"5.7";"8.8";"98.5";"50";"270";"80";"1430";"175";"9.6";"575";"87";"3";"4";"4";"425";"5";"45";"80";"40";"45";"135";"70";"2845";"2570";"275";"1";"624";"200";"0.6";"0.6";"0.5";"0.8";"6.8";"457";"456";"1";"      6225";"1";"3";"1005"
"9556";"WK093505  ";"Maastricht                              ";"Wijk      ";"WK093505  ";"1";"2690";"1390";"1300";"270";"270";"520";"855";"770";"1000";"1295";"220";"175";"330";"60";"10";"5";"5";"5";"45";"15";"5";"25";"10";"1345";"480";"510";"360";"2";"297";"1313";"191";"88";"12";"94";"6";"69";"30";"16";"14";"1";"96";"4";"3020";"1990";"3070";"2980";"2970";"3740";"2400";"3300";"1630";"920";"1560";"1600";"1700";"2220";"1270";"1800";;"61";"84";"16";"2300";"29";"25.3";"43.2";"15";"27.9";"40.1";"14.5";"4.8";"3.7";"6.6";"10";"75.4";"30";"160";"50";"730";"45";"9.1";"240";"89";"3";"3";"3";"420";"10";"105";"115";"35";"35";"90";"35";"1605";"1390";"210";"1.2";"177";"175";"1.4";"3.6";"1.3";"1.3";"1.3";"1052";"907";"145";"         .";;"5";"271"
"9557";"BU09350500";"Maastricht                              ";"Buurt     ";"BU09350500";"1";"20";"10";"5";"0";"10";"5";"0";"0";"20";"5";"0";"0";"5";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"10";"10";"5";"0";"1.8";"11";"21";;"48";"52";"19";"81";"24";"52";"0";"52";"24";"71";"29";;;;;;;;;"2860";;;;;;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;"250";"0";"75";"95";"20";"25";"35";"5";"150";"80";"75";;;"5";"1.8";"1.7";"1.7";"1.7";"3.2";"222";"203";"19";"      6222";"1";"5";"246"
"9558";"BU09350501";"Maastricht                              ";"Buurt     ";"BU09350501";"1";"1720";"875";"845";"170";"170";"335";"530";"510";"630";"835";"150";"110";"225";"40";"5";"0";"5";"5";"30";"10";"6";"20";"12";"865";"300";"340";"230";"2";"586";"843";"174";"86";"14";"96";"4";"65";"35";"20";"15";"0";"95";"5";"2900";"1970";"2980";"2890";"2920";"3940";"2310";"3240";"1540";"760";"1520";"1550";"1720";"2300";"1140";"1780";;"59";"85";"15";"1500";"27.6";"24";"44.9";"13.7";"26.6";"42.2";"11.6";"5.1";"3.7";"6.8";"10.3";"48.9";"20";"100";"40";"490";"30";"9.7";"165";"96";"2";"2";"3";"90";"5";"15";"10";"10";"5";"25";"20";"910";"820";"90";"1.1";"310";"80";"0.4";"3.8";"0.5";"0.5";"1.1";"363";"294";"69";"      6223";"1";"5";"341"
"9559";"BU09350502";"Maastricht                              ";"Buurt     ";"BU09350502";"1";"915";"480";"430";"95";"85";"170";"310";"250";"340";"450";"65";"65";"95";"20";"5";"5";"0";"5";"10";"0";"4";"5";"9";"450";"170";"160";"130";"2";"351";"434";"216";"94";"6";"95";"5";"80";"20";"11";"9";"0";"97";"3";"3260";"2070";"3330";"3180";"3070";"3570";"2620";"3430";"1760";"1310";"1660";"1690";"1640";"2060";"1560";"1810";;"63";"83";"17";"800";"31.7";"27.5";"39.2";"17.3";"30.2";"35.2";"19.4";"3.9";"3.4";"5.7";"9.4";"134.1";"10";"60";"10";"230";"15";"8.8";"75";"82";"1";"1";"2";"65";"5";"10";"10";"5";"5";"20";"10";"510";"465";"45";"1.1";"195";"90";"3.1";"3.5";"2.8";"2.8";"1.6";"317";"261";"56";"      6223";"1";"5";"144"
"9560";"BU09350503";"Maastricht                              ";"Buurt     ";"BU09350503";"1";"25";"15";"10";"0";"0";"5";"10";"10";"10";"10";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"5";"5";"5";"1.8";"20";"15";;;;;;;;;;;;;"3230";;;;;;;"2760";"4020";;;;;;;"3310";;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;"20";;;;;;;;"30";"25";"5";;;"0";"1.8";"1.7";"1.1";"1.1";"4.8";"150";"149";"2";"      6222";"1";"5";"209"
"9561";"WK093506  ";"Maastricht                              ";"Wijk      ";"WK093506  ";"1";"21310";"10385";"10920";"2495";"3135";"5135";"6510";"4025";"10305";"8075";"1925";"1010";"3720";"1760";"165";"180";"90";"135";"1200";"140";"7";"210";"10";"10825";"4875";"3100";"2855";"1.9";"2197";"10450";"188";"60";"40";"95";"5";"48";"51";"35";"16";"1";"94";"6";"2650";"1880";"3010";"3150";"3320";"4320";"2210";"3170";"1210";"820";"1280";"1520";"1830";"2500";"1030";"1450";;"63";"88";"12";"16900";"29.9";"25.1";"43.1";"16.7";"25.8";"48.1";"14.6";"9.5";"7.9";"12.7";"16.4";"20.8";"590";"1490";"340";"3720";"420";"8.7";"1800";"84";"6";"5";"3";"1405";"10";"185";"355";"115";"115";"425";"200";"8965";"7965";"1000";"0.8";"924";"570";"0.6";"0.7";"0.5";"0.6";"10.3";"1090";"970";"120";"         .";;"2";"1690"
"9562";"BU09350600";"Maastricht                              ";"Buurt     ";"BU09350600";"1";"1990";"965";"1020";"200";"295";"550";"615";"325";"1045";"680";"175";"90";"395";"200";"10";"15";"10";"10";"160";"15";"8";"10";"6";"1160";"650";"280";"240";"1.7";"737";"1189";"198";"38";"62";"81";"19";"45";"55";"14";"40";"0";"100";"0";"2150";"1630";"2870";"3320";"4330";;"1590";"2770";"940";"740";"1190";"1440";"1340";;"800";"1130";;"61";"87";"13";"1600";"34.6";"29.3";"36";"23";"27.9";"45.3";"17.9";"6.8";"5.2";"7.9";"10.4";"46.1";"30";"90";"20";"300";"35";"8.5";"85";"43";"13";"9";"7";"385";"5";"50";"95";"40";"45";"125";"20";"1020";"830";"190";"0.9";"377";"55";"0.8";"0.7";"0.4";"0.4";"13";"278";"270";"8";"      6229";"1";"2";"1856"
"9563";"BU09350601";"Maastricht                              ";"Buurt     ";"BU09350601";"1";"4570";"2165";"2405";"450";"725";"985";"1465";"945";"2330";"1580";"420";"240";"775";"330";"35";"40";"10";"25";"230";"20";"5";"65";"14";"2205";"1015";"625";"570";"1.9";"2955";"2215";"204";"58";"42";"96";"4";"43";"55";"41";"13";"2";"92";"8";"2590";"1860";"2980";"3210";"3470";"3810";"2230";"3160";"1200";"810";"1300";"1560";"1940";"2380";"1000";"1490";;"63";"87";"13";"3400";"29.7";"25.2";"44.3";"17.8";"25.3";"49.9";"15.1";"9.3";"8";"13.4";"17.7";"21";"110";"500";"60";"890";"75";"7.4";"570";"125";"4";"2";"5";"220";"0";"20";"45";"15";"15";"80";"40";"1755";"1570";"185";"0.8";"1134";"110";"0.7";"0.8";"0.7";"0.7";"7.5";"267";"155";"112";"      6229";"1";"3";"1249"
"9564";"BU09350602";"Maastricht                              ";"Buurt     ";"BU09350602";"1";"7535";"3660";"3875";"865";"1120";"1780";"2185";"1590";"3510";"2990";"660";"380";"1345";"580";"75";"30";"30";"55";"400";"55";"7";"55";"8";"3970";"1800";"1195";"980";"1.9";"3531";"3659";"183";"66";"34";"96";"4";"46";"53";"36";"17";"1";"96";"4";"2640";"1850";"2910";"3020";"3110";"4480";"2240";"3180";"1310";"870";"1330";"1600";"1840";"2780";"1130";"1600";;"62";"88";"12";"6200";"27.7";"23.6";"45.3";"14.2";"24.8";"50.3";"12.7";"9.5";"7.5";"13";"16.9";"17.4";"220";"450";"120";"1480";"130";"7.7";"590";"78";"5";"6";"3";"440";"0";"70";"110";"35";"25";"120";"80";"3090";"2810";"280";"0.8";"1447";"230";"0.6";"0.8";"0.3";"0.6";"11.9";"214";"214";"0";"      6227";"1";"2";"2022"
"9565";"BU09350603";"Maastricht                              ";"Buurt     ";"BU09350603";"1";"6130";"3075";"3050";"815";"855";"1670";"1880";"905";"2995";"2345";"600";"190";"1065";"600";"55";"95";"40";"50";"365";"40";"7";"25";"4";"3090";"1320";"880";"895";"2";"4337";"2991";"153";"61";"39";"97";"3";"52";"48";"40";"8";"0";"100";"0";"2690";"2000";"3060";"3100";"3320";"3830";"2310";"3070";"1140";"830";"1200";"1390";"1790";"2250";"990";"1300";;"63";"89";"11";"5000";"27.5";"22.6";"43.8";"13.3";"24.6";"48.1";"10.3";"11.4";"9.7";"14.6";"18";"13.2";"220";"440";"130";"810";"160";"11.1";"370";"60";"7";"5";"3";"285";"0";"40";"90";"20";"15";"65";"50";"2640";"2375";"260";"0.9";"1866";"155";"0.6";"0.6";"0.6";"0.5";"9.3";"141";"141";"0";"      6228";"1";"2";"1526"
"9566";"BU09350604";"Maastricht                              ";"Buurt     ";"BU09350604";"1";"1075";"510";"560";"170";"135";"150";"365";"255";"425";"480";"65";"110";"155";"60";"0";"10";"5";"5";"55";"0";"3";"45";"45";"390";"95";"125";"170";"2.5";"568";"396";"390";"74";"26";"97";"3";"71";"29";"22";"7";"1";"32";"68";"3970";"2200";"4270";"4480";"4430";"5250";"2550";"4530";"1580";"780";"1600";"1760";"1520";"2500";"960";"1810";;"72";"80";"20";"700";"55.1";"42.6";"29.4";"42.3";"43.2";"23";"54.6";"3.7";"3.7";"4.8";"7";"242.7";"10";"20";"10";"250";"20";"7.2";"180";"167";"7";"1";"0";"75";"5";"0";"10";"0";"10";"35";"10";"465";"375";"85";"1.2";"244";"20";"0.7";"0.8";"0.9";"0.8";"11.5";"190";"190";"0";"      6228";"3";"2";"1572"
