"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"Nettoarbeidsparticipatie_64";"PercentageWerknemers_65";"PercentageZelfstandigen_66";"AantalInkomensontvangers_67";"GemiddeldInkomenPerInkomensontvanger_68";"GemiddeldInkomenPerInwoner_69";"k_40PersonenMetLaagsteInkomen_70";"k_20PersonenMetHoogsteInkomen_71";"GemGestandaardiseerdInkomenVanHuish_72";"k_40HuishoudensMetLaagsteInkomen_73";"k_20HuishoudensMetHoogsteInkomen_74";"HuishoudensMetEenLaagInkomen_75";"HuishOnderOfRondSociaalMinimum_76";"HuishoudensTot110VanSociaalMinimum_77";"HuishoudensTot120VanSociaalMinimum_78";"MediaanVermogenVanParticuliereHuish_79";"PersonenPerSoortUitkeringBijstand_80";"PersonenPerSoortUitkeringAO_81";"PersonenPerSoortUitkeringWW_82";"PersonenPerSoortUitkeringAOW_83";"JongerenMetJeugdzorgInNatura_84";"PercentageJongerenMetJeugdzorg_85";"WmoClienten_86";"WmoClientenRelatief_87";"TotaalDiefstalUitWoningSchuurED_88";"VernielingMisdrijfTegenOpenbareOrde_89";"GeweldsEnSeksueleMisdrijven_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"9544";"BU09350301";"Maastricht                              ";"Buurt     ";"BU09350301";"1";"45";"20";"25";"5";"5";"15";"5";"15";"25";"20";"5";"5";"15";"5";"0";"0";"0";"5";"5";"0";"0";"0";"21";"25";"15";"10";"5";"1.8";"103";"29";;"66";"34";"59";"41";"52";"38";"0";"38";"10";"100";"0";"3760";;;;"3860";;;"3410";"1860";;;;;;;"1830";;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;"55";"0";"15";"20";"0";"5";"10";"5";"25";"15";"10";;;"0";"1.1";"0.8";"1";"1";"8.7";"47";"47";"0";"      6219";"1";"2";"1523"
"9545";"BU09350302";"Maastricht                              ";"Buurt     ";"BU09350302";"1";"420";"180";"235";"35";"115";"85";"85";"95";"255";"125";"25";"15";"120";"35";"10";"5";"5";"0";"25";"0";"5";"0";"2";"270";"185";"55";"35";"1.6";"850";"184";"235";"53";"47";"96";"4";"28";"71";"46";"25";"1";"100";"0";"2920";"2770";"2920";"3100";;;"2700";"3560";"1460";"1080";"1600";"1890";;;"1200";"2180";;"49";"81";"19";"300";"26";"21.9";"55.7";"13.9";"19.6";"67.2";"11.6";"11.3";"9.5";"19";"23.8";"2.5";"10";"20";"0";"90";;;"25";"60";"10";"17";"2";"30";"0";"5";"5";"0";"5";"10";"5";"115";"90";"25";"0.4";"234";"10";"0.9";"0.5";"0.4";"0.5";"12";"51";"50";"2";"      6217";"1";"1";"3502"
"9546";"BU09350303";"Maastricht                              ";"Buurt     ";"BU09350303";"1";"25";"10";"10";"0";"5";"5";"5";"0";"15";"10";"0";"0";"5";"5";"0";"0";"0";"0";"5";"0";"40";"0";"0";"15";"10";"5";"5";"1.7";"22";"14";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;"45";"0";"15";"10";"0";"5";"10";"0";"40";"30";"5";;;"5";"2.3";"1.7";"2.3";"2.3";"3.2";"113";"113";"0";"      6219";"1";"4";"748"
"9547";"BU09350304";"Maastricht                              ";"Buurt     ";"BU09350304";"1";"70";"30";"35";"10";"15";"10";"20";"15";"35";"25";"5";"5";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"20";"10";"10";"1.9";"86";"30";;"100";"0";"93";"7";"87";"10";"0";"10";"3";"100";"0";"3930";;"3170";"3440";;"4440";;"3830";"1830";;"1630";;;"1970";;"1740";;;;;"100";;;;;;;;;;;;;"0";"0";"0";"20";;;;;"0";"0";"0";"5";;;;;;;;"35";"30";"5";;;"5";"1.7";"1.6";"1.6";"1.6";"4";"81";"81";"0";"      6218";"1";"5";"376"
"9548";"WK093504  ";"Maastricht                              ";"Wijk      ";"WK093504  ";"1";"30655";"14685";"15965";"3675";"6125";"7170";"8070";"5610";"16465";"9990";"2595";"1605";"5600";"3645";"525";"155";"90";"470";"2420";"215";"7";"280";"9";"16575";"8820";"4065";"3700";"1.8";"2342";"14862";"183";"57";"43";"92";"8";"38";"59";"38";"22";"2";"90";"10";"2630";"2010";"2910";"3130";"3400";"4620";"2260";"3270";"1220";"860";"1330";"1550";"1910";"2630";"1090";"1490";;"58";"87";"13";"23400";"28.5";"23.7";"48.1";"16";"24";"56.4";"13";"11.8";"10";"15.3";"19.6";"8.5";"1190";"1960";"420";"5260";"680";"7.9";"2705";"88";"6";"6";"6";"1810";"10";"200";"390";"160";"150";"595";"310";"10995";"9755";"1240";"0.7";"840";"725";"0.5";"0.6";"0.5";"0.6";"10.6";"1321";"1309";"12";"         .";;"2";"2277"
"9549";"BU09350400";"Maastricht                              ";"Buurt     ";"BU09350400";"1";"3855";"1860";"1995";"325";"835";"1045";"820";"825";"2280";"980";"365";"240";"880";"575";"90";"30";"20";"85";"365";"25";"6";"40";"10";"2435";"1575";"530";"335";"1.5";"4377";"2305";"148";"32";"68";"86";"14";"22";"73";"32";"41";"5";"99";"1";"2250";"1920";"2870";"2980";"3280";;"2090";"2920";"1120";"930";"1420";"1620";"1820";;"1100";"1370";;"54";"89";"11";"3000";"26.1";"22.7";"49.5";"13.3";"22";"64.6";"7.1";"13";"11.5";"17.4";"21.9";"4.4";"170";"220";"60";"770";"50";"5.3";"440";"114";"6";"7";"2";"190";"0";"25";"30";"15";"10";"65";"40";"1245";"1110";"135";"0.5";"1410";"65";"0.5";"0.7";"0.6";"0.6";"14.1";"88";"88";"0";"      6224";"1";"1";"3392"
"9550";"BU09350401";"Maastricht                              ";"Buurt     ";"BU09350401";"1";"2905";"1385";"1520";"280";"705";"760";"675";"480";"1690";"800";"265";"155";"715";"425";"55";"20";"15";"110";"235";"25";"9";"15";"6";"1770";"1130";"335";"315";"1.6";"8820";"1399";"165";"52";"48";"94";"6";"29";"70";"50";"20";"1";"79";"21";"2380";"1810";"2910";"2990";"2850";;"2180";"3070";"830";"630";"970";"1070";"1480";;"880";"840";;"54";"90";"10";"2200";"23.8";"20.3";"53";"10.7";"20.2";"66";"8.8";"11.8";"10.7";"17";"23.2";"4.1";"90";"210";"40";"450";"65";"8";"290";"100";"3";"4";"6";"165";"0";"20";"30";"20";"15";"55";"20";"870";"760";"110";"0.5";"2644";"55";"0.5";"0.3";"0.3";"0.3";"15.9";"33";"33";"0";"      6221";"1";"1";"3214"
"9551";"BU09350402";"Maastricht                              ";"Buurt     ";"BU09350402";"1";"5465";"2590";"2875";"740";"1120";"1445";"1460";"695";"3200";"1550";"515";"205";"1085";"940";"200";"40";"15";"160";"530";"50";"9";"35";"7";"3005";"1640";"650";"725";"1.8";"4817";"2674";"147";"60";"40";"90";"10";"26";"73";"49";"24";"1";"83";"17";"2410";"1880";"2740";"2820";"3500";;"2270";"2940";"1180";"930";"1300";"1510";"2180";;"1190";"1230";;"54";"88";"12";"4200";"24.1";"19.6";"56.5";"11";"20.2";"64.9";"7.4";"19.4";"16.9";"24.2";"28.8";"1.6";"400";"450";"70";"640";"145";"9";"470";"86";"8";"10";"9";"285";"0";"25";"80";"25";"10";"85";"65";"1605";"1410";"195";"0.5";"1413";"110";"0.4";"0.5";"0.4";"0.6";"11.7";"115";"113";"2";"      6224";"4";"1";"2816"
"9552";"BU09350403";"Maastricht                              ";"Buurt     ";"BU09350403";"1";"3250";"1620";"1630";"400";"560";"900";"845";"545";"1860";"855";"370";"165";"510";"495";"75";"20";"10";"45";"350";"25";"8";"25";"8";"1955";"1150";"425";"385";"1.7";"2535";"1728";"122";"51";"49";"94";"6";"16";"83";"65";"18";"1";"98";"2";"2420";"2150";"2620";"2730";"3180";"4170";"2310";"3090";"1020";"820";"1140";"1290";"1580";"2420";"990";"1210";;"52";"91";"9";"2700";"21";"17.8";"58";"4.6";"18.9";"74.7";"2.2";"19.9";"16";"24.1";"31";"1.2";"260";"340";"50";"510";"90";"10.8";"375";"115";"11";"10";"10";"175";"0";"25";"40";"15";"15";"50";"30";"1060";"975";"85";"0.5";"825";"85";"0.4";"0.4";"0.7";"0.7";"8.3";"128";"128";"0";"      6222";"1";"3";"1493"
"9553";"BU09350404";"Maastricht                              ";"Buurt     ";"BU09350404";"1";"2070";"1015";"1055";"220";"650";"415";"495";"280";"1245";"575";"170";"80";"300";"235";"45";"5";"5";"15";"175";"10";"5";"15";"8";"965";"480";"250";"235";"1.8";"1694";"827";"141";"81";"19";"96";"4";"30";"69";"56";"13";"1";"93";"7";"2620";"1920";"2660";"2900";"3200";"3910";"2350";"3280";"1230";"680";"1210";"1520";"1810";"2590";"1170";"1440";;"56";"89";"11";"1500";"22.1";"18.4";"54.8";"8.1";"19.7";"62.8";"5.6";"14.7";"11.6";"18.7";"25";"2.3";"90";"170";"40";"260";"50";"6.3";"160";"77";"11";"7";"7";"75";"0";"15";"20";"5";"5";"15";"15";"640";"600";"35";"0.7";"522";"65";"1";"1";"0.5";"0.6";"6.6";"132";"122";"9";"      6222";"1";"3";"1021"
