"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Motorfietsen_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"MeestVoorkomendePostcode_102";"Dekkingspercentage_103";"MateVanStedelijkheid_104";"Omgevingsadressendichtheid_105";"TotaalDiefstalUitWoningSchuurED_106";"VernielingMisdrijfTegenOpenbareOrde_107";"GeweldsEnSeksueleMisdrijven_108"
"9692";"BU09350404";"Maastricht                              ";"Buurt     ";"BU09350404";"1";"2325";"1160";"1165";"255";"760";"485";"530";"285";"1420";"650";"170";"90";"315";"485";"45";"10";"5";"15";"420";"20";"10";"10";"4";"975";"495";"255";"225";"1.8";"1903";"827";"138";"81";"19";"93";"7";"30";"69";"56";"13";"1";"93";"7";"2760";"1990";"2810";"3000";"3470";"3440";"2440";"3380";"1310";"690";"1260";"1550";"1910";"2350";"1200";"1460";;"1400";"20.9";"17.7";"57.3";"8.3";"42.9";"64.8";"5";"16.2";"12.5";"90";"170";"40";"270";"80";"0";"15";"20";"5";"5";"15";"15";"605";"105";"500";"575";"30";"0.6";"494";"60";"1";"1.1";"0.6";"0.6";"6.2";"132";"122";"9";"      6222";"1";"3";"1020";"6";"5";"10"
"9693";"BU09350405";"Maastricht                              ";"Buurt     ";"BU09350405";"1";"6495";"3045";"3450";"805";"1245";"1395";"1795";"1245";"3400";"2290";"475";"330";"1175";"490";"50";"25";"15";"35";"370";"40";"6";"35";"6";"3475";"1810";"920";"745";"1.8";"1764";"3194";"238";"55";"45";"90";"10";"55";"42";"17";"25";"4";"90";"10";"2950";"2140";"3250";"3660";"3700";"4650";"2360";"3430";"1510";"940";"1720";"1920";"2150";"2810";"1200";"1790";;"4900";"35.4";"29.1";"40.1";"25.4";"53.9";"45.9";"23";"6.4";"5.4";"110";"320";"110";"1170";"465";"5";"35";"105";"35";"50";"170";"65";"2745";"840";"1905";"2355";"390";"0.8";"746";"160";"0.5";"0.6";"0.4";"0.5";"12.8";"368";"368";"0";"      6226";"2";"2";"2374";"5";"5";"6"
"9694";"BU09350406";"Maastricht                              ";"Buurt     ";"BU09350406";"1";"6565";"3165";"3400";"945";"975";"1160";"1995";"1485";"2720";"2970";"430";"450";"845";"425";"30";"15";"20";"30";"340";"40";"6";"125";"19";"2935";"1035";"935";"970";"2.2";"1441";"2711";"226";"80";"20";"96";"4";"66";"32";"25";"7";"2";"89";"11";"3210";"2220";"3210";"3420";"3490";"4890";"2370";"3580";"1410";"820";"1370";"1580";"1890";"2360";"1070";"1570";;"5000";"33";"26.9";"38";"23.7";"58.5";"32.4";"24.8";"3.6";"3.4";"50";"280";"110";"1420";"415";"5";"55";"80";"35";"40";"130";"70";"2800";"855";"1945";"2545";"255";"1";"614";"205";"0.5";"0.6";"0.5";"0.8";"6.9";"457";"456";"1";"      6225";"1";"3";"1001";"3";"2";"3"
"9695";"WK093505  ";"Maastricht                              ";"Wijk      ";"WK093505  ";"1";"2695";"1400";"1295";"275";"275";"515";"860";"760";"985";"1315";"220";"180";"315";"45";"10";"5";"5";"5";"30";"20";"7";"20";"8";"1340";"480";"500";"360";"2";"289";"1313";"185";"88";"12";"94";"6";"68";"30";"17";"13";"1";"96";"4";"3080";"2100";"3130";"3050";"3030";"3780";"2490";"3350";"1710";"1030";"1540";"1650";"1700";"2320";"1360";"1830";;"2300";"28";"24.2";"42.7";"14.9";"53.5";"41";"14.7";"5.2";"4.1";"40";"170";"60";"720";"415";"5";"115";"120";"30";"35";"80";"30";"1615";"460";"1155";"1380";"235";"1.2";"173";"170";"1.3";"3.6";"1.3";"1.3";"1.3";"1052";"935";"117";"         .";;"5";"271";"3";"4";"4"
"9696";"BU09350500";"Maastricht                              ";"Buurt     ";"BU09350500";"1";"20";"10";"5";"0";"10";"5";"0";"0";"20";"5";"0";"0";"5";"5";"0";"0";"5";"0";"5";"0";"0";"0";"0";"15";"15";"0";"0";"1.3";"10";"21";;"57";"43";"14";"86";"19";"43";"0";"43";"38";"71";"29";;;;;;;;;"2750";;;;;;;;;"0";;;;;;;;;;;;;;"260";"0";"85";"95";"15";"25";"30";"5";"180";"90";"90";"95";"90";;;"10";"1.8";"1.7";"1.7";"1.7";"3.1";"222";"203";"19";"      6222";"1";"5";"242";;;
"9697";"BU09350501";"Maastricht                              ";"Buurt     ";"BU09350501";"1";"1725";"890";"835";"175";"185";"335";"520";"500";"630";"835";"145";"115";"225";"30";"5";"5";"5";"5";"25";"10";"7";"10";"8";"850";"290";"330";"230";"2";"536";"844";"168";"86";"14";"95";"5";"64";"35";"21";"14";"1";"95";"5";"2980";"2090";"3040";"2960";"2980";"4110";"2390";"3300";"1590";"870";"1510";"1600";"1740";"2420";"1240";"1800";;"1500";"27";"23.4";"44.2";"13.6";"52.1";"42.6";"12.4";"5.2";"4";"20";"110";"40";"480";"85";"5";"20";"10";"5";"5";"25";"20";"900";"235";"665";"800";"100";"1.1";"279";"80";"0.5";"3.8";"0.5";"0.5";"1.1";"363";"322";"41";"      6223";"1";"5";"342";"2";"5";"5"
"9698";"BU09350502";"Maastricht                              ";"Buurt     ";"BU09350502";"1";"920";"480";"440";"95";"80";"170";"325";"245";"325";"460";"75";"65";"85";"10";"5";"5";"5";"0";"5";"5";"6";"5";"9";"455";"170";"165";"125";"2";"353";"434";"207";"94";"6";"96";"4";"78";"22";"11";"11";"0";"97";"3";"3280";"2050";"3420";"3250";"3110";"3510";"2640";"3460";"1760";"1250";"1630";"1770";"1600";"2110";"1600";"1810";;"800";"29.8";"25.8";"39.1";"17";"56.4";"36.6";"18.6";"4.9";"4";"20";"60";"20";"230";"55";"0";"10";"10";"5";"0";"20";"10";"500";"125";"375";"460";"40";"1.1";"192";"85";"2.9";"3.5";"2.8";"2.8";"1.6";"317";"262";"56";"      6223";"1";"5";"144";"3";"1";"2"
"9699";"BU09350503";"Maastricht                              ";"Buurt     ";"BU09350503";"1";"25";"15";"5";"0";"0";"5";"10";"10";"10";"15";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"10";"5";"5";"1.8";"19";"14";;;;;;;;;;;;;"4180";;;;;;;"2820";"4670";;;;;;;"4000";;"0";;;;;;;;;;;;;;"20";;;;;;;;"30";"5";"25";"25";"10";;;"0";"1.9";"1.7";"1.2";"1.1";"4.8";"150";"149";"2";"      6222";"1";"5";"207";;;
"9700";"WK093506  ";"Maastricht                              ";"Wijk      ";"WK093506  ";"1";"21620";"10610";"11010";"2595";"3180";"5215";"6725";"3895";"10410";"8270";"1930";"1010";"3705";"1735";"175";"180";"90";"140";"1160";"160";"7";"210";"9";"10920";"4935";"3050";"2940";"1.9";"2229";"10413";"177";"60";"40";"94";"6";"48";"51";"34";"17";"1";"94";"6";"2710";"1920";"3090";"3220";"3370";"4470";"2250";"3250";"1250";"850";"1310";"1550";"1880";"2540";"1060";"1470";;"17100";"29.4";"24.5";"42.9";"16.9";"55.8";"47.4";"14.6";"9.6";"8.1";"640";"1560";"410";"3690";"1380";"10";"195";"345";"120";"100";"420";"195";"8975";"2440";"6535";"8000";"975";"0.8";"926";"570";"0.6";"0.7";"0.5";"0.6";"11.2";"1090";"970";"120";"         .";;"2";"1681";"5";"4";"4"
"9701";"BU09350600";"Maastricht                              ";"Buurt     ";"BU09350600";"1";"2005";"1000";"1005";"205";"315";"535";"635";"305";"1040";"705";"180";"85";"385";"190";"10";"15";"10";"10";"150";"10";"5";"5";"2";"1145";"625";"275";"245";"1.8";"743";"1188";"187";"38";"62";"81";"19";"46";"53";"12";"41";"1";"100";"0";"2210";"1680";"2960";"3420";"3590";;"1640";"2850";"960";"750";"1200";"1480";"1250";;"830";"1140";;"1600";"34.7";"29.5";"35.4";"24.2";"59.9";"42";"18.9";"7.1";"5.7";"40";"100";"30";"290";"375";"5";"45";"90";"40";"40";"135";"25";"1075";"400";"675";"870";"205";"0.9";"398";"65";"0.8";"0.7";"0.4";"0.4";"13.9";"278";"270";"8";"      6229";"1";"2";"1850";"8";"7";"8"
"9702";"BU09350601";"Maastricht                              ";"Buurt     ";"BU09350601";"1";"4620";"2165";"2455";"465";"730";"990";"1490";"930";"2345";"1610";"420";"245";"765";"330";"35";"40";"10";"25";"230";"20";"5";"80";"17";"2225";"1045";"600";"585";"1.9";"2987";"2205";"193";"58";"42";"96";"4";"44";"54";"36";"18";"2";"92";"8";"2650";"1890";"3040";"3320";"3460";"4230";"2240";"3260";"1240";"850";"1340";"1600";"2000";"2620";"1050";"1530";;"3400";"28.9";"24.5";"45.3";"17.5";"54.1";"50";"14.6";"9.9";"8.5";"120";"500";"70";"900";"220";"0";"25";"50";"15";"15";"80";"35";"1735";"460";"1275";"1560";"175";"0.8";"1121";"100";"0.7";"0.8";"0.7";"0.7";"8.3";"267";"155";"112";"      6229";"1";"3";"1245";"5";"2";"4"
"9703";"BU09350602";"Maastricht                              ";"Buurt     ";"BU09350602";"1";"7680";"3765";"3910";"900";"1140";"1790";"2275";"1565";"3550";"3090";"660";"380";"1355";"540";"70";"30";"30";"60";"355";"60";"8";"60";"8";"4010";"1805";"1185";"1025";"1.9";"3597";"3648";"172";"67";"33";"95";"5";"46";"53";"35";"17";"1";"96";"4";"2720";"1890";"2980";"3080";"3200";"4430";"2300";"3240";"1360";"900";"1350";"1620";"1890";"2730";"1150";"1630";;"6300";"26.9";"22.8";"44.9";"14.3";"54.5";"49.3";"12.4";"9.5";"7.6";"250";"470";"160";"1490";"420";"0";"80";"110";"40";"20";"100";"70";"3075";"765";"2315";"2805";"270";"0.8";"1441";"225";"0.6";"0.7";"0.3";"0.5";"13";"214";"214";"0";"      6227";"1";"2";"2004";"4";"4";"3"
"9704";"BU09350603";"Maastricht                              ";"Buurt     ";"BU09350603";"1";"6230";"3155";"3070";"840";"865";"1725";"1960";"835";"3055";"2380";"605";"190";"1065";"620";"65";"95";"40";"50";"375";"60";"9";"40";"6";"3125";"1350";"855";"920";"2";"4408";"2991";"145";"61";"39";"98";"2";"52";"48";"40";"7";"0";"100";"0";"2760";"2060";"3140";"3150";"3350";"4120";"2360";"3160";"1170";"860";"1230";"1430";"1850";"2300";"1030";"1320";;"5000";"27.2";"22.1";"43.1";"13.8";"55.5";"48";"11.4";"11.3";"10";"220";"460";"140";"770";"280";"0";"40";"85";"20";"10";"70";"50";"2620";"615";"2000";"2375";"245";"0.8";"1853";"165";"0.6";"0.5";"0.6";"0.5";"10.3";"141";"141";"0";"      6228";"1";"2";"1521";"6";"4";"4"
"9705";"BU09350604";"Maastricht                              ";"Buurt     ";"BU09350604";"1";"1075";"520";"555";"175";"120";"165";"360";"250";"420";"485";"60";"110";"140";"65";"0";"5";"5";"0";"60";"0";"3";"20";"19";"405";"110";"135";"170";"2.5";"569";"381";"373";"71";"29";"98";"2";"69";"31";"23";"8";"0";"34";"66";"4040";"2200";"4360";"4820";"4620";"5300";"2570";"4650";"1580";"750";"1640";"1800";"1570";"2520";"940";"1840";;"800";"54.3";"42.7";"30.7";"40.6";"66.7";"26.1";"49";"3.5";"3.8";"10";"20";"10";"250";"85";"5";"5";"10";"5";"10";"40";"10";"470";"200";"270";"390";"80";"1.1";"247";"20";"0.7";"0.7";"0.9";"0.7";"12.5";"190";"190";"0";"      6228";"3";"2";"1569";"5";"1";"1"
