"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Motorfietsen_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"MeestVoorkomendePostcode_102";"Dekkingspercentage_103";"MateVanStedelijkheid_104";"Omgevingsadressendichtheid_105";"TotaalDiefstalUitWoningSchuurED_106";"VernielingMisdrijfTegenOpenbareOrde_107";"GeweldsEnSeksueleMisdrijven_108"
"9682";"BU09350300";"Maastricht                              ";"Buurt     ";"BU09350300";"1";"1635";"825";"810";"195";"175";"380";"510";"365";"765";"605";"150";"115";"300";"105";"20";"5";"10";"10";"70";"20";"13";"10";"6";"875";"395";"280";"205";"1.9";"1669";"756";"159";"57";"43";"96";"4";"39";"60";"48";"13";"1";"89";"11";"2930";"2440";"3130";"3450";"3820";"5310";"2630";"3430";"1100";"850";"1150";"1450";"1650";"2710";"980";"1260";;"1300";"26.9";"22.6";"45.7";"14.1";"55.2";"52";"9.2";"11.3";"10.2";"60";"130";"30";"340";"100";"0";"10";"15";"10";"0";"30";"30";"680";"140";"540";"610";"70";"0.8";"694";"45";"1.8";"0.5";"1.9";"1.9";"6.5";"147";"98";"49";"      6219";"1";"4";"900";"2";"4";"6"
"9683";"BU09350301";"Maastricht                              ";"Buurt     ";"BU09350301";"1";"45";"20";"20";"5";"5";"5";"5";"15";"25";"20";"5";"5";"20";"5";"0";"0";"0";"5";"5";"0";"0";"0";"21";"25";"15";"10";"5";"1.7";"101";"30";;"63";"37";"60";"40";"47";"43";"0";"43";"10";"100";"0";"3300";;;;"4280";;;"4200";"1640";;;;;;;"2000";;"0";;;;;;;;;;;;;;"50";"0";"15";"25";"0";"5";"5";"5";"30";"10";"20";"15";"15";;;"0";"1.2";"0.8";"1.1";"1.1";"9";"47";"47";"0";"      6219";"1";"3";"1497";;;
"9684";"BU09350302";"Maastricht                              ";"Buurt     ";"BU09350302";"1";"420";"175";"240";"35";"120";"75";"85";"95";"255";"125";"25";"15";"110";"35";"10";"5";"5";"0";"20";"0";"2";"0";"7";"255";"165";"60";"35";"1.6";"848";"186";"218";"54";"46";"94";"6";"27";"72";"46";"25";"2";"100";"0";"3000";"2800";"3000";"3120";;;"2730";"3720";"1530";"1230";"1630";"1900";;;"1290";"2140";;"300";"25.5";"21.6";"55.5";"14.8";"39.1";"67.7";"12.8";"9.1";"10.4";"10";"20";"0";"90";"25";"0";"5";"5";"0";"5";"10";"5";"125";"20";"100";"100";"25";"0.5";"250";"10";"0.9";"0.5";"0.4";"0.4";"12.5";"51";"50";"2";"      6217";"2";"1";"3350";"2";"19";"5"
"9685";"BU09350303";"Maastricht                              ";"Buurt     ";"BU09350303";"1";"25";"10";"15";"0";"5";"5";"5";"0";"15";"10";"0";"0";"5";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"10";"10";"5";"5";"2.1";"24";"14";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;;;;;;;;;;;"45";"0";"15";"10";"0";"5";"5";"5";"40";"20";"20";"30";"10";;;"5";"2.4";"1.8";"2.4";"2.4";"3.3";"113";"113";"0";"      6219";"1";"4";"712";;;
"9686";"BU09350304";"Maastricht                              ";"Buurt     ";"BU09350304";"1";"70";"30";"35";"5";"10";"10";"20";"15";"35";"25";"10";"5";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"35";"20";"10";"10";"1.9";"89";"30";;"100";"0";"97";"3";"87";"10";"0";"10";"3";"100";"0";"3640";;"3260";"3320";;"4660";;"3720";"1900";;"1660";;;"2060";;"1900";;"100";;;;;;;;;;"0";"0";"0";"20";"10";;;;;;;;"30";"10";"20";"30";"5";;;"5";"1.7";"1.6";"1.6";"1.6";"4.2";"81";"81";"0";"      6218";"1";"5";"346";;;
"9687";"WK093504  ";"Maastricht                              ";"Wijk      ";"WK093504  ";"1";"31320";"15060";"16260";"3850";"6275";"7455";"8195";"5540";"16905";"10165";"2605";"1650";"5495";"3840";"540";"160";"85";"460";"2600";"225";"7";"315";"10";"16740";"8885";"4085";"3770";"1.8";"2393";"14808";"176";"57";"43";"93";"7";"38";"59";"37";"22";"2";"90";"10";"2700";"2050";"2980";"3200";"3500";"4630";"2300";"3340";"1240";"890";"1350";"1570";"1950";"2610";"1110";"1510";;"23600";"27.6";"22.9";"48";"16";"50.8";"56";"13";"11.5";"10.3";"1200";"2030";"530";"5250";"1755";"10";"200";"390";"145";"140";"560";"315";"11065";"2815";"8250";"9850";"1215";"0.7";"845";"750";"0.5";"0.6";"0.5";"0.6";"11.2";"1321";"1309";"12";"         .";;"2";"2249";"6";"5";"6"
"9688";"BU09350400";"Maastricht                              ";"Buurt     ";"BU09350400";"1";"4020";"1965";"2055";"355";"855";"1125";"855";"825";"2390";"1020";"365";"245";"850";"585";"90";"30";"20";"75";"375";"15";"4";"50";"12";"2515";"1620";"540";"360";"1.6";"4565";"2284";"139";"32";"68";"90";"10";"22";"73";"32";"41";"5";"99";"1";"2280";"1960";"2890";"3000";"3390";;"2140";"2900";"1130";"930";"1440";"1660";"1880";;"1110";"1330";;"3100";"25.2";"21.8";"49.8";"13.3";"50.4";"64.6";"6.7";"12.6";"11.2";"170";"240";"70";"780";"205";"0";"20";"35";"15";"10";"75";"50";"1325";"295";"1030";"1185";"140";"0.5";"1503";"80";"0.5";"0.6";"0.5";"0.5";"14.7";"88";"88";"0";"      6224";"1";"1";"3348";"9";"6";"5"
"9689";"BU09350401";"Maastricht                              ";"Buurt     ";"BU09350401";"1";"2955";"1400";"1550";"305";"695";"815";"675";"455";"1745";"810";"240";"160";"690";"445";"55";"15";"15";"120";"250";"15";"5";"15";"5";"1770";"1135";"315";"325";"1.7";"8966";"1409";"160";"51";"49";"93";"7";"29";"70";"45";"25";"1";"78";"22";"2440";"1860";"3040";"3040";"2910";;"2240";"3190";"830";"640";"990";"1070";"1530";;"890";"850";"19.3";"2200";"23.2";"19.6";"52.3";"11";"49.2";"63.7";"9.2";"11.7";"11.5";"90";"210";"30";"450";"145";"0";"20";"30";"15";"15";"40";"25";"890";"190";"700";"775";"115";"0.5";"2701";"55";"0.5";"0.3";"0.4";"0.4";"16.9";"33";"33";"0";"      6221";"1";"1";"3181";"4";"5";"7"
"9690";"BU09350402";"Maastricht                              ";"Buurt     ";"BU09350402";"1";"5685";"2700";"2980";"790";"1205";"1540";"1460";"680";"3400";"1550";"540";"200";"1110";"940";"210";"50";"20";"155";"515";"50";"8";"40";"7";"3125";"1700";"675";"760";"1.8";"5014";"2666";"145";"60";"40";"93";"7";"26";"73";"50";"23";"2";"83";"17";"2500";"1960";"2780";"2910";"3290";"2600";"2320";"2980";"1260";"970";"1310";"1540";"2020";"2030";"1220";"1240";;"4400";"23.2";"18.9";"56.3";"10.4";"46.1";"64.9";"7.1";"18.7";"16.7";"410";"470";"100";"640";"285";"0";"25";"80";"25";"10";"85";"60";"1625";"325";"1300";"1425";"200";"0.5";"1432";"110";"0.4";"0.5";"0.4";"0.6";"12.9";"115";"113";"2";"      6224";"4";"1";"2781";"5";"7";"8"
"9691";"BU09350403";"Maastricht                              ";"Buurt     ";"BU09350403";"1";"3260";"1610";"1650";"380";"530";"925";"865";"550";"1835";"880";"380";"175";"525";"490";"75";"25";"10";"45";"345";"30";"10";"30";"9";"1930";"1095";"450";"390";"1.7";"2545";"1717";"119";"50";"50";"95";"5";"17";"82";"64";"18";"1";"98";"2";"2490";"2190";"2640";"2720";"3230";"4140";"2330";"3140";"1060";"870";"1150";"1310";"1600";"2840";"1010";"1260";;"2700";"20.9";"17.7";"56.5";"4.9";"44.9";"72.7";"2.7";"19";"17.1";"280";"350";"70";"520";"160";"0";"25";"40";"15";"10";"45";"30";"1075";"200";"875";"985";"90";"0.6";"839";"80";"0.4";"0.4";"0.7";"0.7";"8.3";"128";"128";"0";"      6222";"1";"3";"1492";"9";"4";"8"
