"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"AfstandTotHuisartsenpraktijk_106";"AfstandTotGroteSupermarkt_107";"AfstandTotKinderdagverblijf_108";"AfstandTotSchool_109";"ScholenBinnen3Km_110";"OppervlakteTotaal_111";"OppervlakteLand_112";"OppervlakteWater_113";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"9567";"BU09350100";"Maastricht                              ";"Buurt     ";"BU09350100";"1";"3225";"1505";"1720";"470";"450";"530";"930";"840";"1475";"1335";"220";"190";"680";"205";"0";"10";"10";"10";"170";"10";"2";"25";"8";"1560";"665";"505";"390";"2";"4048";"1495";"468";"68";"32";"92";"8";"75";"24";"4";"19";"2";"98";"2";"3190";"2260";"3480";"3570";"3580";"4370";"2270";"3480";"1720";"1200";"1780";"1940";"2100";"2760";"1280";"1860";;"350";"650";"1350";"63";"72";"28";"2400";"54.7";"44.1";"32.9";"36.3";"44.7";"28.2";"37.1";"4.5";"4.4";"5.9";"7.2";"354.8";"20";"60";"40";"770";"60";"7.1";"130";"40";"510";"0";"20";"50";"25";"65";"160";"125";"60";"1550";"1285";"265";"1";"1943";"60";"0.4";"0.4";"0.5";"0.5";"11.1";"101";"80";"21";"      6212";"1";"2";"1912"
"9568";"BU09350101";"Maastricht                              ";"Buurt     ";"BU09350101";"1";"1255";"605";"650";"205";"155";"245";"380";"275";"600";"500";"95";"60";"215";"50";"0";"5";"5";"0";"40";"5";"7";"5";"6";"585";"215";"190";"190";"2.1";"4019";"557";"385";"90";"10";"96";"4";"73";"26";"15";"11";"1";"100";"0";"3030";"2450";"2900";"3140";"3040";"5230";"2330";"3280";"1570";"1180";"1470";"1600";"1730";"3060";"1150";"1710";;"200";"190";"540";"68";"78";"22";"1000";"49.5";"39.7";"34";"35.7";;"30.5";"36";"4.3";"4.5";"6.4";"7.7";"219.3";"10";"40";"20";"250";"30";"8.8";"50";"40";"160";"0";"10";"10";"10";"20";"55";"40";"20";"550";"465";"90";"0.9";"1768";"55";"0.8";"0.8";"0.6";"0.7";"10.5";"31";"31";"0";"      6212";"1";"2";"1934"
"9569";"BU09350102";"Maastricht                              ";"Buurt     ";"BU09350102";"1";"1765";"845";"920";"215";"365";"385";"420";"375";"935";"650";"100";"75";"425";"130";"5";"5";"0";"15";"105";"15";"8";"10";"6";"975";"495";"265";"210";"1.8";"3160";"913";"340";"65";"35";"85";"15";"58";"41";"2";"39";"0";"99";"1";"2820";"1470";"2990";"3230";"3490";"4610";"1620";"3580";"1590";"880";"1580";"1810";"1920";"2770";"1000";"1970";;"130";"430";"810";"56";"74";"26";"1300";"46.4";"38.3";"35.5";"35.9";"39.2";"34.4";"35.9";"3.4";"2.6";"3.9";"5.2";"233.8";"10";"30";"20";"350";"25";"5.1";"65";"37";"220";"0";"10";"20";"15";"30";"60";"50";"35";"755";"625";"130";"0.8";"1352";"45";"1.2";"0.5";"0.7";"1.3";"12.1";"56";"56";"0";"      6213";"1";"2";"2400"
"9570";"BU09350103";"Maastricht                              ";"Buurt     ";"BU09350103";"1";"1250";"565";"685";"105";"85";"185";"290";"585";"410";"525";"95";"220";"190";"30";"0";"0";"0";"5";"25";"5";"5";"80";"63";"620";"290";"210";"115";"1.8";"3187";"777";;"46";"54";"77";"23";"50";"50";"0";"50";"0";"99";"1";"2950";"1880";"3240";"3510";"3660";"4580";"1840";"3620";"1730";"1240";"1680";"1790";"2080";"2890";"1290";"2000";;"120";"220";"420";"62";"74";"26";"900";"46.1";"39.6";"31.1";"31.9";"39";"36.6";"27.1";"3.3";"4.7";"6.1";"9";"211.7";"0";"20";"10";"540";"15";"8.4";"260";"208";"110";"0";"5";"15";"5";"10";"45";"15";"15";"640";"530";"105";"1";"1627";"20";"1.2";"1.1";"0.9";"0.9";"9.9";"39";"39";"0";"      6213";"1";"2";"1882"
"9571";"BU09350104";"Maastricht                              ";"Buurt     ";"BU09350104";"1";"1435";"685";"745";"220";"140";"290";"365";"415";"600";"650";"115";"65";"235";"50";"5";"5";"0";"0";"40";"10";"8";"10";"8";"650";"190";"255";"200";"2.2";"2630";"633";"287";"93";"7";"97";"3";"72";"28";"15";"12";"1";"100";"0";"2980";"2050";"2850";"2920";"3520";"4310";"2370";"3220";"1530";"1100";"1380";"1560";"1890";"2360";"1220";"1650";;"160";"280";"600";"64";"80";"20";"1200";"36.1";"29.5";"36.1";"23.1";"33.9";"28.4";"23.6";"2.6";"3";"4.1";"7.7";"176.5";"10";"40";"20";"390";"20";"6";"65";"45";"150";"5";"10";"15";"5";"5";"40";"35";"30";"665";"580";"80";"1";"1218";"30";"0.8";"0.9";"0.4";"0.4";"4.9";"54";"54";"0";"      6213";"2";"3";"1041"
"9572";"BU09350105";"Maastricht                              ";"Buurt     ";"BU09350105";"1";"150";"75";"80";"20";"20";"20";"55";"40";"55";"75";"10";"10";"30";"5";"0";"0";"0";"0";"5";"0";"7";"5";"7";"75";"30";"25";"20";"2.1";"25";"62";"669";"89";"11";"92";"8";"79";"21";"0";"21";"0";"97";"3";"4240";;;"3200";"4420";"4370";"3900";"4320";"2460";;;"2210";"2160";"2740";"2250";"2510";;"20";"30";"50";;;;"100";"54.2";"47.3";"40.8";"41.5";;;;;;;;;"0";"0";"0";"40";;;;;"80";"0";"5";"10";"5";"10";"25";"10";"10";"100";"75";"25";"1.4";"16";"5";"2";"1.9";"1.7";"1.8";"4.9";"633";"606";"27";"      6212";"4";"4";"527"
"9573";"WK093502  ";"Maastricht                              ";"Wijk      ";"WK093502  ";"1";"37610";"17830";"19785";"4145";"6810";"8460";"9515";"8670";"19225";"12415";"3705";"2265";"7990";"5490";"915";"210";"105";"815";"3445";"270";"7";"410";"11";"21405";"11545";"5185";"4675";"1.8";"4251";"18172";"179";"56";"44";"96";"4";"37";"62";"50";"12";"1";"91";"9";"2450";"1970";"2750";"2820";"3060";"4060";"2150";"2960";"1060";"860";"1140";"1290";"1360";"1900";"960";"1230";;"9250";"11900";"6700";"52";"88";"12";"29000";"26.7";"22.6";"51.2";"10.5";"24.7";"58.7";"8.8";"11";"11.4";"18.5";"23.8";"9.8";"1650";"2650";"530";"8030";"840";"9.2";"4280";"114";"2260";"10";"270";"365";"160";"95";"515";"475";"370";"13475";"12260";"1215";"0.6";"1523";"765";"0.5";"0.5";"0.6";"0.6";"9.6";"885";"885";"0";"         .";;"2";"2391"
"9574";"BU09350200";"Maastricht                              ";"Buurt     ";"BU09350200";"1";"6790";"3025";"3760";"395";"2700";"1565";"1000";"1125";"4825";"1330";"355";"280";"2525";"1435";"100";"35";"15";"140";"1140";"15";"3";"35";"5";"5050";"3940";"685";"425";"1.3";"7415";"2464";"202";"40";"60";"93";"7";"39";"59";"30";"29";"2";"98";"2";"2240";"1810";"2770";"2760";"2880";"4180";"1940";"2690";"1180";"1040";"1330";"1440";"1350";"1940";"1040";"1390";;"880";"2040";"1610";"37";"86";"14";"3700";"27.6";"23.8";"50.5";"13.5";"23.2";"63.8";"9.5";"8.8";"8";"13.3";"16.8";"10";"130";"200";"60";"1060";"90";"4.3";"440";"65";"440";"0";"30";"75";"25";"10";"115";"110";"75";"1470";"1305";"165";"0.3";"1605";"90";"0.4";"0.4";"0.5";"0.4";"12.6";"92";"92";"0";"      6217";"4";"1";"3281"
"9575";"BU09350201";"Maastricht                              ";"Buurt     ";"BU09350201";"1";"4825";"2225";"2605";"535";"1070";"1200";"1105";"920";"2885";"1170";"540";"230";"1200";"695";"100";"35";"15";"55";"490";"30";"7";"50";"10";"3015";"1825";"630";"555";"1.6";"8858";"2587";"168";"64";"36";"92";"8";"16";"82";"64";"19";"2";"90";"10";"2290";"2000";"2430";"2460";"2460";"3400";"2190";"2770";"1070";"950";"1140";"1160";"1040";"1240";"1020";"1290";;"1280";"1450";"1090";"46";"86";"14";"3700";"24.2";"20.4";"58.6";"8.1";"21.2";"71.7";"5";"15.6";"15.4";"24.4";"31.5";"1.8";"330";"370";"70";"830";"125";"9.3";"485";"101";"385";"0";"30";"65";"20";"20";"110";"75";"60";"1465";"1330";"135";"0.5";"2687";"85";"0.5";"0.4";"0.4";"0.7";"13.1";"54";"54";"0";"      6214";"1";"1";"3304"
"9576";"BU09350202";"Maastricht                              ";"Buurt     ";"BU09350202";"1";"2545";"1200";"1345";"250";"375";"600";"595";"720";"1145";"1035";"195";"170";"490";"130";"0";"15";"5";"25";"85";"20";"8";"30";"13";"1400";"630";"480";"285";"1.8";"5208";"1290";"194";"56";"44";"97";"3";"78";"20";"0";"20";"2";"100";"0";"2710";"2520";"2780";"2950";"3440";;"2390";"2810";"1150";"880";"1280";"1500";"1610";;"1020";"1190";;"440";"860";"570";"63";"90";"10";"2100";"30.1";"25.9";"38.8";"14.2";"28.4";"39.3";"10.3";"1.8";"1.7";"2.8";"3.9";"95.5";"10";"80";"30";"670";"30";"5.5";"215";"85";"155";"5";"15";"15";"5";"5";"40";"40";"25";"1090";"1025";"60";"0.8";"2229";"70";"0.7";"0.4";"0.4";"0.5";"10.3";"49";"49";"0";"      6216";"1";"1";"2748"
"9577";"BU09350203";"Maastricht                              ";"Buurt     ";"BU09350203";"1";"2490";"1205";"1285";"380";"250";"665";"690";"510";"1275";"775";"300";"140";"405";"520";"140";"10";"5";"85";"285";"25";"10";"25";"11";"1295";"595";"310";"390";"1.9";"4977";"1299";"137";"44";"56";"97";"3";"14";"86";"85";"1";"0";"99";"1";"2180";"1730";"2600";"2700";"3100";"3730";"2010";"3180";"1020";"870";"1050";"1240";"1540";"2840";"960";"1410";;"800";"760";"250";"50";"90";"10";"2000";"22.7";"18.6";"60.1";"5";"22.1";"71.2";"4.8";"20.4";"19.1";"30.3";"37.4";"2";"260";"290";"50";"450";"80";"14";"335";"135";"115";"0";"20";"20";"10";"5";"20";"25";"10";"910";"835";"75";"0.7";"1825";"50";"0.4";"0.9";"1.1";"0.3";"10";"50";"50";"0";"      6216";"1";"2";"2254"
"9578";"BU09350204";"Maastricht                              ";"Buurt     ";"BU09350204";"1";"2120";"1040";"1080";"315";"295";"505";"570";"440";"1080";"665";"240";"135";"340";"565";"155";"15";"5";"95";"295";"20";"9";"25";"13";"1120";"535";"255";"330";"1.9";"5398";"1161";"140";"43";"57";"92";"8";"15";"84";"82";"2";"0";"98";"2";"2130";"1710";"2660";"2520";"3130";;"2010";"2830";"980";"830";"1090";"1280";"1460";;"950";"1160";;"690";"730";"240";"50";"89";"11";"1700";"21.7";"17.6";"62.3";"4";"21.4";"70.3";"2.9";"18.4";"17.7";"30.3";"37.6";"2.1";"190";"220";"30";"420";"80";"14.4";"325";"153";"95";"0";"15";"15";"15";"0";"20";"10";"20";"745";"670";"70";"0.7";"1893";"35";"0.5";"0.7";"0.7";"0.8";"9.2";"39";"39";"0";"      6217";"1";"2";"2480"
"9579";"BU09350205";"Maastricht                              ";"Buurt     ";"BU09350205";"1";"3210";"1545";"1665";"495";"450";"820";"820";"625";"1710";"925";"395";"170";"615";"735";"175";"25";"10";"115";"410";"25";"8";"35";"11";"1665";"795";"400";"470";"1.9";"5289";"1595";"159";"63";"37";"96";"4";"15";"84";"75";"9";"1";"86";"14";"2320";"1690";"2640";"2790";"3550";"3200";"2200";"3000";"1000";"710";"1050";"1270";"1710";"2360";"960";"1170";;"980";"790";"600";"49";"90";"10";"2500";"22.6";"18.2";"60.6";"6.5";"21.6";"67.9";"4.6";"17.3";"17.5";"27.9";"35.7";"2";"270";"310";"60";"570";"100";"11.8";"440";"137";"180";"0";"25";"35";"15";"5";"35";"30";"40";"1020";"920";"100";"0.6";"1682";"35";"0.4";"0.4";"0.4";"0.4";"10";"61";"61";"0";"      6217";"1";"2";"2068"
