;Business_sector;Average_Total_number_of_palletes_per_month;SD_Total_number_of_palletes_per_month;TotalPerYear;PredictedBusinesses;PredictedDemand
0;MNZakelijkeDienstverlening;0.651686508;1.22069867;7.820238096000001;1614.2861002685677;12624.10165916353
1;RUCultuurRecreatieOverigeDiensten;2.506349206;3.17322242;30.076190472;1614.2861002685677;48551.57622797953
2;KLFinancieleDienstenOnroerendGoed;0.796428571;0.64198574;9.557142852;1614.2861002685677;15427.962864264697
3;BFNijverheidEnEnergie;41.15714286;70.2067711;493.88571432000003;1614.2861002685677;797272.8437479887
4;GIHandelEnHoreca;152.9630542;398.372224;1835.5566503999999;1614.2861002685677;2963113.5869962503
5;HJVervoerInformatieEnCommunicatie;7.93640873;25.8454801;95.23690476;1614.2861002685677;153739.6115866694
